Loss,Accuracy,valLoss,valAccuracy
0.6388,0.71,1.3911,0.5
0.5724,0.71,1.4787,0.49
0.5125,0.755,1.8696,0.515
0.2178,0.935,5.7525,0.5
0.104,0.96,5.4387,0.515
0.0199,0.995,3.1215,0.555
0.1584,0.95,0.9195,0.265
0.1294,0.96,2.7953,0.61
0.0499,0.995,1.2303,0.58
0.0597,0.98,1.702,0.6
0.0596,0.9875,2.8703,0.605
0.0197,0.995,3.7986,0.63
0.0838,0.9675,1.936,0.52
0.9332,0.51,0.8113,0.455
0.6999,0.565,0.7354,0.55
0.4707,0.7925,0.6955,0.75
0.1906,0.93,0.6411,0.815
0.2448,0.9125,0.8912,0.685
0.0246,1,1.1401,0.785
0.1052,0.98,1.0318,0.78
0.0064,1,1.301,0.74
0.0636,0.9875,1.5916,0.585
0.2939,0.8975,1.163,0.525
0.0865,0.965,1.337,0.715
0.0043,1,1.5227,0.755
0.0048,1,1.8132,0.735
0.0035,1,1.8481,0.785
0.0025,1,1.6498,0.76
0.0011,1,1.7893,0.735
0.0054,1,8.895,0.54
0.1801,0.9625,9.7825,0.49
0.0159,0.9975,1.9223,0.685
0.0577,0.99,1.3743,0.72
0.0541,0.985,1.106,0.855
0.023,0.995,0.8673,0.81
0.02,0.995,1.1398,0.81
0.0026,1,1.2447,0.795
0.0015,1,1.3549,0.81
7.82E-04,1,1.4231,0.8
4.05E-04,1,1.4659,0.8
5.48E-04,1,1.5172,0.805
4.11E-04,1,1.5031,0.795
3.97E-04,1,1.5473,0.795
2.90E-04,1,1.5738,0.795
4.42E-04,1,1.5184,0.8
4.96E-04,1,1.6931,0.79
4.17E-04,1,1.8129,0.81
2.62E-04,1,1.6764,0.81
1.82E-04,1,1.655,0.81
1.90E-04,1,1.5823,0.81
6.21E-05,1,1.695,0.815
4.93E-05,1,1.7344,0.81
6.18E-05,1,1.7559,0.81
7.47E-05,1,1.7491,0.805
4.16E-05,1,1.7713,0.81
3.74E-05,1,1.778,0.815
3.91E-05,1,1.7883,0.815
3.21E-05,1,1.8002,0.815
3.81E-05,1,1.842,0.81
1.94E-05,1,1.8172,0.815
2.32E-05,1,1.8344,0.81
2.05E-05,1,1.8893,0.815
1.59E-05,1,1.8552,0.82
1.83E-05,1,1.9176,0.81
1.45E-05,1,1.8953,0.805
1.42E-05,1,1.9557,0.81
8.80E-06,1,1.9415,0.81
1.08E-05,1,1.9403,0.815
9.58E-06,1,1.9425,0.81
1.69E-05,1,1.9107,0.815
6.16E-06,1,1.9199,0.815
8.56E-06,1,1.9462,0.81
6.17E-06,1,1.9336,0.81
1.04E-05,1,1.8494,0.795
1.26E-05,1,2.252,0.785
1.56E-05,1,2.1124,0.805
4.68E-06,1,2.1571,0.8
3.13E-06,1,2.193,0.81
3.35E-06,1,2.1469,0.8
2.50E-06,1,d,0.795
2.10E-06,1,2.3369,0.795
0.4941,0.945,12.0665,0.54
0.3425,0.8825,0.9277,0.7
0.0717,0.9825,1.3976,0.685
0.0153,0.9975,1.3742,0.685
0.0079,1,1.7723,0.77
0.0054,1,1.9953,0.725
0.0016,1,2.1371,0.695
0.0014,1,2.0286,0.72
6.45E-04,1,2.2027,0.705
0.2094,0.9425,2.9295,0.535
0.0202,0.9975,1.1404,0.745
0.0066,1,1.1605,0.765
0.0044,1,1.211,0.76
0.0015,1,1.4899,0.765
0.0226,0.995,2.7606,0.55
0.0242,0.995,3.7959,0.57
0.0025,1,1.0566,0.805
0.0024,1,1.4577,0.805
7.86E-04,1,1.5761,0.8
