Loss,Accuracy,valLoss,valAccuracy
0.7593,0.6425,0.7839,0.5
0.553,0.7625,1.0529,0.5
0.3198,0.8575,1.644,0.5
0.3495,0.83,0.8381,0.5
0.4314,0.8075,1.6715,0.5
0.216,0.915,2.3113,0.5
0.0429,0.995,2.2209,0.5
0.0057,1,1.3625,0.5
0.0026,1,0.8698,0.5
0.0015,1,0.7121,0.5
9.64E-04,1,0.6962,0.5
7.82E-04,1,0.7316,0.5
5.49E-04,1,0.7728,0.5
4.91E-04,1,0.7703,0.5
3.75E-04,1,0.7434,0.5
8.00E-04,1,0.734,0.5
0.5843,0.7825,20.5033,0.5
0.2802,0.87,4.4899,0.5
0.0585,0.9875,2.9157,0.5
0.2047,0.94,0.7219,0.5
0.572,0.7425,19.1959,0.5
0.2459,0.9025,9.551,0.5
0.0797,0.98,5.3072,0.5
0.3895,0.8425,38.7373,0.5
0.1079,0.965,12.6389,0.5
0.1798,0.9325,21.9699,0.5
0.0604,0.9875,35.7545,0.5
0.0128,1,20.9471,0.5
0.0083,1,4.4289,0.525
0.0048,1,4.4578,0.51
0.0016,1,3.5358,0.57
0.0014,1,2.8662,0.605
8.45E-04,1,2.4632,0.625
6.54E-04,1,2.2474,0.635
0.001,1,1.9968,0.665
6.78E-04,1,2.0955,0.64
5.38E-04,1,2.1344,0.625
2.83E-04,1,2.199,0.625
0.5884,0.795,20.3518,0.5
0.5475,0.7625,17.598,0.5
0.3919,0.8275,15.9379,0.5
0.1382,0.955,14.649,0.495
0.232,0.9225,19.0199,0.5
0.1317,0.9475,22.9596,0.5
0.009,1,22.4168,0.5
0.0054,1,17.1365,0.5
0.0033,1,15.5039,0.5
0.0019,1,12.3528,0.5
0.0015,1,9.0626,0.5
0.0013,1,4.7387,0.54
8.61E-04,1,2.8075,0.63
6.80E-04,1,2.1183,0.685
6.58E-04,1,1.7091,0.68
5.35E-04,1,1.492,0.735
5.15E-04,1,1.4335,0.725
4.26E-04,1,1.4774,0.715
3.38E-04,1,1.4903,0.735
2.88E-04,1,1.5206,0.74
2.60E-04,1,1.4932,0.745
2.31E-04,1,1.5646,0.74
1.71E-04,1,1.618,0.735
1.59E-04,1,1.6544,0.735
1.41E-04,1,1.6607,0.735
1.39E-04,1,1.6482,0.735
1.12E-04,1,1.6696,0.73
1.25E-04,1,1.6508,0.73
8.95E-05,1,1.713,0.725
6.74E-05,1,1.752,0.725
6.94E-05,1,1.7652,0.71
6.77E-05,1,1.7927,0.715
6.16E-05,1,1.7748,0.71
6.45E-05,1,1.7977,0.71
4.82E-05,1,1.7988,0.715
4.01E-05,1,1.8433,0.715
4.00E-05,1,1.8653,0.715
3.73E-05,1,1.8527,0.72
2.66E-05,1,1.8869,0.715
2.61E-05,1,1.8801,0.72
2.16E-05,1,1.9042,0.715
1.78E-05,1,1.9212,0.715
1.74E-05,1,1.9635,0.72
1.25E-05,1,1.9825,0.72
1.24E-05,1,1.9614,0.72
1.05E-05,1,2.0047,0.72
1.09E-05,1,1.9974,0.72
9.18E-06,1,1.9958,0.715
1.24E-05,1,1.8937,0.72
6.42E-06,1,1.9892,0.72
7.35E-06,1,2.0257,0.72
8.26E-06,1,2.0806,0.72
6.03E-06,1,2.0643,0.725
4.23E-06,1,2.0891,0.72
3.79E-06,1,2.0946,0.725
4.48E-06,1,2.1006,0.725
4.03E-06,1,2.1534,0.715
3.22E-06,1,2.1259,0.72
5.24E-06,1,2.048,0.72
2.72E-06,1,2.0973,0.71
1.76E-06,1,2.1352,0.71
1.71E-06,1,2.1585,0.71
