Loss,Accuracy,valLoss,valAccuracy
1.0625,0.5475,0.7297,0.5
0.5875,0.75,1.9798,0.5
0.5999,0.76,1.2261,0.58
0.4871,0.77,1.5092,0.585
0.3982,0.8025,1.5463,0.555
0.4464,0.785,0.7874,0.735
0.4979,0.785,1.6916,0.515
0.4267,0.8075,1.309,0.615
0.256,0.915,3.6881,0.365
0.4732,0.805,0.9464,0.6
0.2852,0.88,0.6529,0.715
0.1346,0.9525,1.2057,0.54
0.1727,0.935,2.1523,0.425
0.0434,0.985,0.7431,0.775
0.0046,1,1.2,0.74
0.0049,1,1.1402,0.755
0.0022,1,1.1194,0.76
0.0012,1,1.1816,0.765
0.0044,0.9975,1.634,0.645
0.2328,0.92,9.4835,0.5
0.333,0.86,2.8498,0.455
0.1717,0.94,0.7692,0.73
0.0333,0.99,1.4125,0.665
0.3682,0.865,12.975,0.36
0.225,0.915,0.9282,0.55
0.1909,0.9325,5.0534,0.445
0.054,0.9825,1.9246,0.55
0.0456,0.985,2.6185,0.575
0.0127,0.9975,1.1258,0.745
0.0022,1,1.1059,0.745
0.0014,1,1.1485,0.74
9.04E-04,1,1.2603,0.73
6.83E-04,1,1.1492,0.745
5.64E-04,1,1.2228,0.735
4.01E-04,1,1.2341,0.735
4.80E-04,1,1.2527,0.735
2.56E-04,1,1.3034,0.735
1.93E-04,1,1.3505,0.725
2.33E-04,1,1.3384,0.735
3.85E-04,1,1.0498,0.79
2.71E-04,1,1.2367,0.745
1.23E-04,1,1.2488,0.74
0.6571,0.7575,20.5937,0.5
0.287,0.8975,1.4387,0.545
0.1276,0.9625,1.3415,0.705
0.0986,0.9725,1.5207,0.675
0.0529,0.9875,1.416,0.705
0.1249,0.9475,1.8327,0.615
0.0846,0.975,1.5563,0.695
0.0462,0.985,1.3816,0.715
0.0032,1,1.3786,0.75
0.0023,1,1.4246,0.74
0.001,1,1.415,0.765
0.1762,0.9375,2.1854,0.455
0.0958,0.9675,1.8519,0.63
0.0365,0.9875,2.0268,0.635
0.0019,1,2.3305,0.64
0.0014,1,2.2064,0.64
6.29E-04,1,2.2555,0.635
5.76E-04,1,2.4329,0.635
4.07E-04,1,2.4755,0.635
3.34E-04,1,2.4021,0.64
3.20E-04,1,2.2776,0.635
2.43E-04,1,2.2905,0.635
2.05E-04,1,2.3343,0.64
3.02E-04,1,2.3167,0.64
2.05E-04,1,2.4274,0.64
1.29E-04,1,2.6478,0.635
1.16E-04,1,2.6153,0.635
9.82E-05,1,2.5811,0.64
1.03E-04,1,2.4659,0.64
2.17E-04,1,2.083,0.645
1.20E-04,1,2.5824,0.645
8.45E-05,1,2.4695,0.645
6.75E-05,1,2.5936,0.645
5.03E-05,1,2.6906,0.645
5.26E-05,1,2.5847,0.645
4.63E-05,1,2.7871,0.645
5.11E-05,1,2.9066,0.645
3.49E-05,1,2.9242,0.645
2.44E-05,1,3.0205,0.645
4.29E-05,1,2.9449,0.65
2.20E-05,1,2.6821,0.65
2.43E-05,1,2.88,0.65
2.22E-05,1,2.9851,0.65
1.88E-05,1,2.9089,0.65
1.37E-05,1,3.0237,0.65
1.08E-05,1,2.8954,0.65
1.23E-05,1,2.9005,0.65
1.56E-05,1,3.0173,0.65
9.59E-06,1,2.9523,0.65
8.79E-06,1,2.8786,0.645
7.76E-06,1,3.1472,0.65
6.68E-06,1,2.8914,0.65
6.67E-06,1,2.9137,0.65
5.02E-06,1,3.0867,0.65
6.46E-06,1,2.8595,0.65
6.29E-06,1,2.9084,0.65
4.11E-06,1,2.9665,0.65
4.63E-06,1,3.093,0.65
