Loss,Accuracy,valLoss,valAccuracy
0.8387,0.6014,0.8205,0.4839
0.6932,0.6284,1.6191,0.5161
0.7739,0.5946,0.8948,0.4839
0.6822,0.6351,1.16,0.5161
0.6005,0.7095,2.853,0.4516
0.7547,0.5541,4.0391,0.5161
0.7323,0.5135,1.5036,0.4032
0.7255,0.4865,1.2757,0.5
0.7074,0.6216,2.8643,0.5161
0.7088,0.6014,0.996,0.4677
0.6177,0.7027,1.3535,0.5161
0.5646,0.7568,1.0027,0.5323
0.5448,0.7297,14.0342,0.5323
0.546,0.7365,2.9989,0.5
0.378,0.8176,1.3236,0.6129
0.3085,0.8784,1.454,0.5323
0.1766,0.9392,1.9786,0.5484
0.2636,0.9054,4.3402,0.5161
0.3001,0.8716,2.0768,0.4516
0.2768,0.8784,3.5372,0.5
0.1443,0.9595,1.6319,0.5
0.1646,0.9324,3.0435,0.4516
0.2175,0.9189,2.5027,0.5645
0.296,0.8784,2.1641,0.4677
0.114,0.9662,2.6442,0.4677
0.1029,0.9459,2.1755,0.4355
0.0703,0.973,1.9557,0.4516
0.0779,0.9662,5.7482,0.4516
0.235,0.8986,3.8208,0.5
0.257,0.9054,2.5588,0.4516
0.045,0.9932,2.8669,0.5323
0.0439,0.973,2.4857,0.5
0.0799,0.9662,3.047,0.4516
0.0491,0.973,2.977,0.5323
0.0179,1,3.2807,0.4839
0.0113,1,3.0707,0.4839
0.0136,1,3.2101,0.4677
0.0217,0.9932,3.2,0.5
0.1277,0.9662,3.7723,0.5484
0.1842,0.9392,3.6182,0.4355
0.0576,0.9865,3.5105,0.4839
0.0093,1,3.228,0.5161
0.0198,0.9865,2.748,0.4355
0.0791,0.973,3.7671,0.5
0.0195,0.9932,3.2538,0.4677
0.038,0.9865,2.966,0.4839
0.0076,1,3.9194,0.4355
0.0026,1,4.0059,0.4355
0.0016,1,4.1111,0.4355
0.0016,1,4.2884,0.4355
0.0014,1,4.4156,0.4355
0.0013,1,4.4866,0.4355
0.0025,1,4.3373,0.4355
0.0014,1,4.324,0.4355
0.0028,1,4.7157,0.4355
6.50E-04,1,4.7239,0.4355
4.71E-04,1,4.7507,0.4355
3.56E-04,1,4.7514,0.4355
4.50E-04,1,4.7001,0.4516
5.35E-04,1,4.7834,0.4355
2.36E-04,1,4.757,0.4355
3.53E-04,1,4.7372,0.4355
2.05E-04,1,4.7562,0.4516
1.82E-04,1,4.6843,0.4516
3.48E-04,1,4.6323,0.4677
1.68E-04,1,4.5817,0.4677
2.37E-04,1,4.5901,0.4677
2.67E-04,1,4.6174,0.4355
2.87E-04,1,4.5679,0.4516
0.0023,1,5.6385,0.4839
0.0011,1,5.0118,0.4355
4.11E-04,1,4.7872,0.4355
2.84E-04,1,4.6645,0.4677
2.87E-04,1,4.5597,0.4677
0.003,1,4.5756,0.4839
3.59E-04,1,4.5778,0.5
0.0013,1,4.6892,0.4839
6.95E-04,1,4.6137,0.4839
4.98E-04,1,4.6894,0.4677
3.98E-04,1,4.6201,0.4677
2.03E-04,1,4.7305,0.4516
1.63E-04,1,4.8401,0.4516
0.0042,1,4.3681,0.4677
1.0725,0.6351,181.5563,0.5161
0.7331,0.6284,8.0283,0.4516
0.4167,0.8108,3.451,0.4839
0.2921,0.8919,2.0669,0.5161
0.2354,0.9054,1.8075,0.5323
0.2265,0.9189,2.6065,0.4516
0.2402,0.9189,1.6172,0.4677
0.2217,0.9122,1.8296,0.5161
0.2303,0.9189,1.6838,0.5
0.1098,0.9595,2.0446,0.5161
0.1083,0.9595,2.7825,0.4839
0.1723,0.9392,1.6315,0.5161
0.1541,0.9324,3.1038,0.4839
0.1015,0.9595,2.6853,0.4355
0.0376,0.9865,2.8612,0.4839
0.0106,1,3.1729,0.4839
0.0068,1,3.0325,0.4677
