Loss,Accuracy,valLoss,valAccuracy
1.035,0.5473,0.6928,0.5161
0.8859,0.4865,0.6944,0.4839
0.8627,0.5,0.6929,0.5161
0.7246,0.5338,0.7217,0.5161
0.7936,0.5068,0.7189,0.4194
0.774,0.473,0.9733,0.5161
0.722,0.5203,4.7398,0.5161
0.8232,0.473,1.9717,0.5484
0.7305,0.4459,1.7812,0.4839
0.8364,0.5203,0.948,0.5323
0.6262,0.6486,3.5169,0.4677
0.7401,0.5203,2.496,0.4516
0.8123,0.5338,4.5004,0.5161
0.7124,0.5541,1.617,0.5161
0.7082,0.5743,15.1184,0.4355
0.7688,0.5338,1.1934,0.4516
0.697,0.6014,1.7354,0.5161
0.6538,0.6486,1.4298,0.5161
0.7962,0.5473,2.9169,0.4839
0.6872,0.5811,1.1779,0.4355
0.73,0.5676,0.7217,0.5161
0.7335,0.5203,0.7116,0.5161
0.6377,0.6284,4.2642,0.5161
0.5546,0.7162,55.4608,0.5161
0.6409,0.7095,75.5881,0.5161
0.7237,0.5608,7.2602,0.5161
0.5771,0.7365,1.2684,0.5645
0.507,0.7635,1.3243,0.629
0.5135,0.7095,1.2582,0.5161
0.5146,0.7568,1.2958,0.6129
0.5509,0.7095,1.1084,0.5806
0.4357,0.8041,9.1337,0.5161
0.4004,0.8176,1.6682,0.629
0.4424,0.7703,2.8415,0.5806
0.3892,0.8378,0.9952,0.7419
0.3265,0.8716,4.8931,0.5161
0.2761,0.9189,1.4626,0.5968
0.2672,0.8784,1.1051,0.7097
0.2991,0.8851,4.4173,0.5161
0.1221,0.9797,1.9058,0.6129
0.2028,0.9257,0.9628,0.7581
0.1656,0.9459,4.4468,0.5161
0.0804,0.973,1.0362,0.7581
0.0681,0.9797,1.5411,0.7097
0.0996,0.973,1.4358,0.7581
0.0426,1,1.6171,0.7581
0.0416,0.9932,1.3683,0.7581
0.1417,0.9392,1.9067,0.629
0.1128,0.973,2.2465,0.6613
0.0622,0.973,1.0892,0.7742
0.0925,0.9595,4.3684,0.5323
0.1528,0.9392,1.3214,0.7742
0.0664,0.9797,1.326,0.7742
0.1201,0.9662,3.0882,0.5968
0.1271,0.9392,3.1665,0.5323
0.0991,0.9595,1.2788,0.7581
0.1243,0.9459,1.315,0.8065
0.0342,0.9932,1.2168,0.7581
0.0248,0.9932,1.1926,0.7581
0.0204,1,1.4926,0.7581
0.0762,0.973,1.2624,0.7258
0.0184,1,1.4898,0.7419
0.0049,1,1.5259,0.7258
0.0055,1,1.5031,0.7581
0.0036,1,1.5313,0.7419
0.0019,1,1.5703,0.7581
0.0028,1,1.6121,0.7581
0.0012,1,1.634,0.7581
0.0015,1,1.6675,0.7581
0.0044,1,1.7156,0.7258
0.0032,1,1.7307,0.7258
0.0031,1,2.0532,0.7581
0.0025,1,1.9491,0.7581
0.0014,1,1.9324,0.7419
0.0011,1,1.8891,0.7581
0.0013,1,1.8802,0.7581
0.0012,1,1.928,0.7581
0.001,1,1.8927,0.7419
9.68E-04,1,1.8418,0.7419
0.0018,1,1.8809,0.7419
0.0011,1,1.8822,0.7581
6.68E-04,1,1.9144,0.7581
5.29E-04,1,1.9461,0.7742
4.03E-04,1,1.9748,0.7742
4.05E-04,1,2.0142,0.7581
6.73E-04,1,2.0096,0.7419
5.21E-04,1,2.0262,0.7419
4.39E-04,1,2.0391,0.7419
8.67E-04,1,2.064,0.7419
2.21E-04,1,2.0588,0.7581
3.41E-04,1,2.0972,0.7419
6.20E-04,1,2.0714,0.7419
6.80E-04,1,2.0285,0.7581
2.69E-04,1,2.0465,0.7419
1.90E-04,1,2.0395,0.7581
2.59E-04,1,2.079,0.7581
2.11E-04,1,2.1083,0.7581
1.71E-04,1,2.1264,0.7581
1.92E-04,1,2.1521,0.7419
3.51E-04,1,2.1425,0.7419
