Loss,Accuracy,valLoss,valAccuracy
0.9133,0.5,0.6931,0.5161
0.8552,0.5203,0.7074,0.5161
0.7145,0.6216,0.7417,0.5161
0.5168,0.7635,0.7821,0.5161
0.5286,0.7432,0.7785,0.5161
0.4438,0.7973,1.2211,0.5161
0.382,0.8378,0.9327,0.5161
0.2696,0.8851,0.9586,0.5161
0.4705,0.8041,1.3652,0.5161
0.2393,0.9054,1.2847,0.5161
0.327,0.8581,1.4323,0.5161
0.3359,0.8784,1.3986,0.5161
0.1153,0.973,1.5505,0.5161
0.1076,0.9595,1.7522,0.5161
0.0906,0.9662,1.3895,0.5161
0.2066,0.9189,1.6097,0.5161
0.235,0.8986,1.0584,0.5161
0.1315,0.9595,0.8169,0.5161
0.308,0.8986,1.0561,0.5161
0.218,0.8986,0.9597,0.5161
0.1157,0.973,0.9509,0.5161
0.2259,0.9189,0.7937,0.5161
0.0869,0.9932,0.7955,0.5161
0.1081,0.9662,0.7443,0.5161
0.0273,0.9865,0.6928,0.5161
0.1965,0.9392,0.7164,0.5161
0.0692,0.973,0.7378,0.5161
0.0558,0.973,0.6926,0.5161
0.0224,1,0.799,0.5161
0.004,1,0.7078,0.5161
0.1005,0.9527,0.8087,0.4839
0.4735,0.7838,0.7177,0.4839
0.3529,0.8581,0.753,0.5161
0.0574,0.9932,0.9985,0.5161
0.0426,0.9865,0.9293,0.5161
0.0571,0.9865,0.8244,0.5161
0.022,0.9932,1.0469,0.5161
0.3816,0.8243,1.2657,0.5161
0.3917,0.8784,0.9035,0.5161
0.2443,0.9257,1.982,0.5161
0.1143,0.973,1.1306,0.5161
0.031,0.9932,1.3273,0.5161
0.0072,1,1.6417,0.5161
0.0043,1,1.5422,0.5161
0.0053,1,1.4827,0.5161
0.0014,1,1.5042,0.5161
0.0012,1,1.5271,0.5161
0.0012,1,1.5553,0.5161
0.0015,1,1.6319,0.5161
0.001,1,1.7215,0.5161
7.88E-04,1,1.8106,0.5161
0.0011,1,1.8129,0.5161
7.24E-04,1,1.854,0.5161
5.11E-04,1,1.9115,0.5161
6.39E-04,1,1.9616,0.5161
6.48E-04,1,2.0469,0.5161
4.26E-04,1,2.1276,0.5161
4.02E-04,1,2.2105,0.5161
8.98E-04,1,2.3303,0.5161
4.64E-04,1,2.3613,0.5161
4.46E-04,1,2.4107,0.5161
2.94E-04,1,2.4616,0.5161
2.55E-04,1,2.522,0.5161
2.75E-04,1,2.5894,0.5161
7.31E-04,1,2.4803,0.5161
6.27E-04,1,2.4503,0.5161
1.94E-04,1,2.4935,0.5161
2.07E-04,1,2.5584,0.5161
2.12E-04,1,2.6294,0.5161
1.96E-04,1,2.6916,0.5161
3.47E-04,1,2.8969,0.5161
2.12E-04,1,2.9288,0.5161
1.92E-04,1,2.9702,0.5161
1.58E-04,1,2.9877,0.5161
1.40E-04,1,2.9988,0.5161
1.56E-04,1,3.0194,0.5161
1.20E-04,1,3.0048,0.5161
1.12E-04,1,2.9575,0.5161
9.50E-05,1,2.9141,0.5161
1.31E-04,1,2.906,0.5161
8.95E-05,1,2.8466,0.5161
6.33E-05,1,2.8015,0.5161
8.25E-05,1,2.7571,0.5161
8.75E-05,1,2.7165,0.5161
8.20E-05,1,2.6579,0.5161
2.38E-04,1,2.7874,0.5161
1.42E-04,1,2.6514,0.5161
8.82E-05,1,2.5697,0.5323
7.24E-05,1,2.511,0.5323
4.28E-04,1,2.7711,0.5161
2.12E-04,1,2.657,0.5323
1.00E-04,1,2.6,0.5161
8.13E-05,1,2.5649,0.5323
6.92E-05,1,2.5491,0.5161
6.77E-05,1,2.5382,0.5161
6.33E-05,1,2.5532,0.4839
4.74E-05,1,2.5736,0.4839
4.89E-05,1,2.5941,0.4839
4.29E-05,1,2.5949,0.4839
5.15E-05,1,2.6078,0.5
