Loss,Accuracy,valLoss,valAccuracy
1.9082,0.5,1.3039,0.5161
1.0535,0.5676,0.7108,0.5161
0.7406,0.5541,0.6917,0.4839
0.8462,0.5811,1.1166,0.4839
0.7844,0.5338,0.926,0.4839
0.8087,0.5338,1.2119,0.4839
0.8767,0.5743,1.4624,0.5161
0.845,0.4932,22.9374,0.4839
0.7674,0.5541,2.5722,0.4194
0.7359,0.5,0.8976,0.4839
0.7335,0.5878,0.8785,0.4677
0.708,0.6554,11.3329,0.4516
0.7592,0.6149,1.142,0.4516
0.6661,0.6216,1.715,0.4516
0.6557,0.6554,1.3375,0.4355
0.7186,0.6081,0.9954,0.4839
0.7496,0.6351,8.3501,0.4516
0.7131,0.5946,1.0258,0.5
0.7137,0.6351,4.6053,0.4355
0.729,0.6554,28.7078,0.5
0.5462,0.7095,7.7439,0.5161
0.5911,0.7027,1.8275,0.4839
0.5333,0.7365,3.0706,0.5
0.7093,0.6216,0.9314,0.4839
0.6749,0.7095,0.9373,0.5
0.7401,0.6622,0.7734,0.4839
0.6697,0.6486,0.8249,0.6129
0.6214,0.6892,0.7884,0.6452
0.7553,0.5743,1.0168,0.5645
0.6717,0.6081,9.7833,0.5
0.6341,0.6689,4.2658,0.4677
0.551,0.723,4.4711,0.5484
0.5714,0.7027,1.045,0.4355
0.6572,0.6419,29.1262,0.5
0.5412,0.7432,22.5585,0.5323
0.6077,0.723,4.1182,0.5645
0.456,0.777,1.4877,0.4839
0.335,0.8716,1.0864,0.5161
0.4259,0.8108,4.122,0.5161
0.3722,0.8108,1.9487,0.5484
0.3549,0.8514,1.7585,0.5968
0.4349,0.8041,1.5083,0.5161
0.5701,0.7432,27.2228,0.5323
0.4174,0.8378,1.4929,0.5323
0.3447,0.8716,3.3603,0.5161
0.422,0.8446,2.0743,0.6452
0.3641,0.8851,6.6936,0.5806
0.3104,0.9054,2.6834,0.4516
0.2916,0.8851,1.4168,0.5645
1.126,0.5338,1.526,0.4839
0.7163,0.6216,1.0708,0.5484
0.7117,0.6689,1.5919,0.5323
0.6596,0.6149,9.778,0.4677
0.491,0.7838,1.2336,0.5161
0.412,0.8041,1.3505,0.4355
0.3346,0.8851,0.9723,0.5806
0.3528,0.8649,1.8806,0.4839
0.2901,0.8716,0.7782,0.5968
0.2328,0.9257,2.2678,0.5484
0.2203,0.9257,1.4617,0.5323
0.3152,0.8784,1.6568,0.5
0.2064,0.9189,1.6341,0.5323
0.1864,0.9459,1.7728,0.4839
0.1762,0.9257,1.733,0.5484
0.0997,0.9595,2.2192,0.5323
0.0719,0.9865,2.9767,0.5968
0.4872,0.8514,1.5074,0.5484
0.7553,0.7027,2.2666,0.6613
0.4788,0.7703,2.2508,0.5323
0.1838,0.9189,2.2045,0.5806
0.1041,0.9662,1.9474,0.5
0.2118,0.9189,2.4812,0.5806
0.1527,0.9392,4.8704,0.5484
0.1592,0.9392,1.9525,0.5
0.0804,0.973,2.5072,0.5323
0.0712,0.973,2.6151,0.4839
0.1772,0.9257,1.514,0.5484
0.1761,0.9392,2.3208,0.5323
0.0748,0.9662,3.7822,0.5484
0.0489,0.9932,3.6175,0.5
0.0208,1,3.5285,0.4839
0.0582,0.9797,3.6474,0.5323
0.0537,0.9797,2.9937,0.5
0.1115,0.9324,4.3306,0.5323
0.1343,0.9392,3.2648,0.5484
0.1651,0.9324,4.3959,0.5
0.0634,0.9865,5.0475,0.5968
0.0498,0.9865,5.2209,0.5645
0.0739,0.9662,3.5225,0.5484
0.0323,0.9865,3.6188,0.4677
0.1637,0.9459,13.6942,0.5161
0.4057,0.8716,19.1507,0.5323
0.1318,0.9459,6.813,0.5161
0.0427,0.9932,4.9979,0.5
0.0326,0.9932,3.2877,0.5645
0.006,1,3.2098,0.5806
0.0255,0.9865,2.6636,0.5323
0.0047,1,2.92,0.5161
0.0039,1,3.2827,0.5484
0.0016,1,3.3307,0.5323
