Loss,Accuracy,valLoss,valAccuracy
1.4355,0.5338,1.7546,0.5161
1.1564,0.5068,1.5593,0.5161
0.8477,0.5541,0.8577,0.5161
0.8398,0.5878,0.9621,0.5
0.8976,0.4932,2.2776,0.5161
0.8872,0.4865,1.1196,0.5161
0.8124,0.5203,1.6928,0.5484
0.6623,0.6419,1.078,0.5323
0.814,0.5743,1.0545,0.4516
0.7723,0.5338,1.8299,0.4839
0.6237,0.6689,2.1761,0.5
0.7011,0.6014,1.7408,0.5161
0.7708,0.5338,2.1303,0.4839
0.6734,0.6757,1.017,0.4839
0.6253,0.6892,1.2417,0.5323
0.6356,0.6689,1.1265,0.5484
0.6229,0.7162,1.6393,0.5968
0.6452,0.6419,1.6606,0.5323
0.5302,0.7568,1.5893,0.5161
0.5206,0.75,1.787,0.4355
0.927,0.6351,1.3493,0.4677
0.7575,0.6216,1.0316,0.4516
0.5446,0.7095,1.4498,0.4839
0.6359,0.6824,0.8799,0.629
0.479,0.7635,1.2257,0.5806
0.5596,0.7432,4.2755,0.4839
0.4504,0.7838,1.8544,0.4032
0.3588,0.8446,1.2901,0.4677
0.4099,0.8243,1.3146,0.5806
0.2827,0.8649,1.657,0.4677
0.1036,0.9797,1.9741,0.4677
0.1519,0.9459,3.3037,0.5161
0.2854,0.8716,5.4546,0.4839
0.4787,0.7973,1.7331,0.5645
0.2092,0.9257,1.5258,0.4516
0.1427,0.9324,1.8632,0.5
0.0841,0.9797,1.7202,0.5
0.1021,0.9662,2.2912,0.5161
0.0675,0.9865,2.8593,0.4839
0.0164,1,2.8645,0.4677
0.0052,1,3.171,0.5161
0.0072,1,3.2322,0.4677
0.0043,1,3.4591,0.4839
0.0018,1,3.3856,0.4677
0.0015,1,3.5059,0.4677
0.0023,1,3.4958,0.4677
0.0032,1,3.7295,0.4677
0.0021,1,3.9597,0.5161
0.031,0.9865,3.1406,0.5
0.3352,0.8649,7.5615,0.4839
0.4498,0.8311,4.8726,0.4032
0.3425,0.8919,3.3384,0.4194
0.3394,0.8446,2.1033,0.5
0.2489,0.9122,1.4924,0.5323
0.1909,0.9257,1.5428,0.5161
0.1224,0.9392,2.536,0.5968
0.0856,0.9797,2.9299,0.5484
0.069,0.9865,2.4882,0.5161
0.0768,0.973,2.2784,0.5323
0.0294,0.9932,3.2163,0.5161
0.0299,0.9865,2.834,0.5323
0.0616,0.9797,2.1505,0.4677
0.064,0.9797,2.2315,0.5
0.0412,0.9865,2.42,0.5323
0.0126,1,2.764,0.5484
0.0027,1,2.8121,0.5484
0.0023,1,3.0065,0.5323
0.0016,1,3.1547,0.5323
0.0011,1,3.2156,0.5484
0.0011,1,3.1064,0.5484
5.67E-04,1,3.1462,0.5323
5.79E-04,1,3.2393,0.5484
4.50E-04,1,3.2636,0.5484
3.79E-04,1,3.3147,0.5484
0.0012,1,3.2666,0.5484
4.33E-04,1,3.2775,0.5484
4.35E-04,1,3.2943,0.5484
3.42E-04,1,3.313,0.5484
4.66E-04,1,3.3522,0.5323
4.14E-04,1,3.316,0.5323
3.77E-04,1,3.4506,0.5323
2.06E-04,1,3.506,0.5323
2.60E-04,1,3.5557,0.5323
4.54E-04,1,3.4509,0.5161
9.55E-04,1,3.7849,0.5161
4.33E-04,1,3.5065,0.5161
2.79E-04,1,3.588,0.5161
2.35E-04,1,3.6449,0.5161
7.33E-04,1,3.3478,0.5161
2.46E-04,1,3.7244,0.5323
1.38E-04,1,3.6994,0.5323
1.84E-04,1,3.771,0.5323
1.79E-04,1,3.7655,0.5323
1.04E-04,1,3.7717,0.5323
1.15E-04,1,3.8577,0.5323
3.15E-04,1,3.729,0.5161
1.49E-04,1,3.8223,0.5323
8.36E-05,1,3.9111,0.5323
8.73E-05,1,3.9497,0.5323
1.15E-04,1,3.9598,0.5323
