Loss,Accuracy,valLoss,valAccuracy
1.1072,0.6216,1.4462,0.4839
0.9562,0.4459,0.6928,0.5161
0.7408,0.5203,1.1557,0.4839
0.7677,0.4797,1.2822,0.4839
0.7617,0.5608,0.7506,0.5161
0.8402,0.473,0.803,0.5161
0.7177,0.5405,0.9694,0.5806
0.8219,0.4932,0.8776,0.5484
0.8325,0.4527,2.375,0.3387
0.8833,0.473,173.7433,0.4839
0.738,0.527,6.2385,0.4839
0.8073,0.4865,0.7396,0.5323
0.7169,0.5743,1.8897,0.4839
0.7377,0.5541,3.8955,0.5
0.7623,0.5135,1.4492,0.5161
0.6515,0.6149,0.8233,0.5645
0.7097,0.5338,1.0704,0.5645
0.7852,0.5541,0.6826,0.5806
0.6141,0.6824,5.8084,0.4839
0.5733,0.7635,8.7901,0.5161
0.6686,0.6216,1.3762,0.4839
0.6582,0.6284,4.4617,0.5161
0.6654,0.6622,3.0563,0.5484
0.6371,0.6824,1.1905,0.5645
0.6774,0.6149,0.9543,0.4839
0.6008,0.6824,1.1104,0.5806
0.6882,0.6149,1.1009,0.5323
0.6126,0.6554,1.211,0.3226
0.6304,0.6892,1.8951,0.4839
0.6974,0.6419,0.6563,0.5484
0.5763,0.6959,1.4862,0.4839
0.6034,0.7095,0.5265,0.7903
0.5646,0.75,0.3885,0.8387
0.593,0.6757,0.4603,0.7742
0.5898,0.6892,1.581,0.4839
0.6616,0.7027,1.2759,0.4839
0.4468,0.8041,0.594,0.6774
0.4649,0.7905,0.7618,0.7097
0.4164,0.8108,0.824,0.6613
0.5105,0.777,0.3934,0.8548
0.5223,0.7432,1.4148,0.6129
0.6458,0.6892,3.6533,0.5161
0.5025,0.7635,0.567,0.7742
0.5568,0.7838,0.6907,0.7903
0.593,0.7432,2.185,0.6774
0.4123,0.8649,0.9232,0.6774
0.3998,0.8784,0.5419,0.7419
0.3579,0.8378,0.2258,0.9194
0.4321,0.8243,0.9163,0.6935
0.2776,0.8784,0.9451,0.5161
0.3793,0.8514,0.3346,0.9194
0.2896,0.9054,0.3385,0.9032
0.253,0.9392,0.9797,0.5484
0.408,0.8649,0.973,0.5484
0.2165,0.9189,0.6076,0.7419
0.1409,0.9662,0.3064,0.8871
0.1841,0.9392,1.0741,0.6613
0.3273,0.9054,1.4381,0.7419
0.4478,0.8446,0.5935,0.871
0.3379,0.8784,1.0455,0.5484
0.6525,0.6419,5.6717,0.5484
0.5803,0.7162,2.456,0.6129
0.4942,0.8041,1.1463,0.6613
0.4183,0.8716,0.5957,0.7097
0.3537,0.8851,0.5752,0.7903
0.3049,0.8919,0.7082,0.5645
0.3452,0.8514,0.4881,0.7903
0.3064,0.8919,0.5636,0.7419
0.2181,0.9257,0.845,0.5968
0.3348,0.8716,0.7471,0.8065
0.1922,0.9324,0.3889,0.8387
0.2596,0.8986,0.5849,0.7903
0.2037,0.9324,0.2774,0.9032
0.1707,0.9257,0.505,0.8065
0.0963,0.9662,0.5943,0.8065
0.2937,0.8851,1.6161,0.6129
0.1605,0.9392,0.6878,0.7903
0.1455,0.9662,0.4841,0.8548
0.1252,0.9459,0.4075,0.8226
0.1853,0.9324,0.7463,0.7903
0.1452,0.9662,0.4924,0.7903
0.1901,0.9459,0.4067,0.8065
0.0446,0.9932,0.4987,0.8548
0.0118,1,0.4478,0.8871
0.0186,1,0.4969,0.8226
0.0293,0.9932,0.5216,0.8065
0.2856,0.9054,0.7434,0.7419
0.1571,0.9595,0.6153,0.8387
0.0692,0.9797,0.4411,0.9355
0.3124,0.8716,1.5588,0.6935
0.2823,0.8784,0.7818,0.8226
0.1772,0.9189,0.8315,0.6774
0.0699,0.973,1.1765,0.7903
0.0202,0.9932,0.8991,0.7903
0.0157,1,0.9007,0.7581
0.0393,0.9932,1.1692,0.7419
0.0775,0.9527,1.0708,0.6129
0.2306,0.9324,1.6722,0.4677
0.1422,0.9662,0.9446,0.629
0.0558,0.9797,0.427,0.8871
