Loss,Accuracy,valLoss,valAccuracy
0.9626,0.5225,2.2244,0.4839
0.7567,0.5337,1.1678,0.4839
0.6488,0.6292,1.4777,0.4839
0.7598,0.5618,25.4168,0.5161
0.7457,0.5787,1.6655,0.5161
0.6671,0.6573,32.5523,0.5
0.7522,0.6292,1.1407,0.5645
0.6768,0.618,8.0749,0.5161
0.6911,0.6124,3.2972,0.5161
0.6876,0.6629,2.9212,0.4839
0.7347,0.5393,2.7418,0.4516
0.694,0.5674,1.0735,0.5484
0.7263,0.5169,0.8644,0.5161
0.6962,0.618,38.0399,0.5161
0.6554,0.6742,1.4396,0.5968
0.7603,0.5562,1.3087,0.4839
0.7079,0.5843,0.8665,0.3871
0.6936,0.573,0.8635,0.5161
0.7029,0.6011,0.7485,0.4839
0.7339,0.4944,0.733,0.5161
0.716,0.4944,0.8202,0.5645
0.6922,0.5787,0.7722,0.4839
0.7121,0.4944,0.8597,0.5484
0.679,0.6236,0.8226,0.4839
0.6638,0.5955,1.443,0.4677
0.6508,0.6798,0.8171,0.4355
0.7497,0.5674,0.7273,0.4839
0.7208,0.5506,0.6811,0.5806
0.7338,0.4719,0.8435,0.4839
0.7187,0.5225,0.7853,0.5
0.7034,0.5843,0.6938,0.5161
0.6697,0.6067,7.193,0.4839
0.72,0.5674,2.4145,0.4516
0.7012,0.6011,10.8538,0.4677
0.7174,0.5225,0.9994,0.5161
0.7163,0.5281,0.7137,0.5323
0.7177,0.5225,0.7013,0.4839
0.7135,0.5393,0.7886,0.5323
0.7314,0.5169,0.7573,0.4839
0.7076,0.5787,0.8319,0.4839
0.7133,0.5618,0.6976,0.4839
0.7364,0.5169,1.4199,0.4677
0.7147,0.5449,0.7159,0.4677
0.7096,0.5562,1.8077,0.4839
0.7172,0.573,0.6906,0.5645
0.6706,0.6292,0.7937,0.5484
0.6571,0.6124,6.4388,0.5161
0.6961,0.5787,0.7951,0.4839
0.649,0.6685,0.6065,0.6452
0.6885,0.6404,0.6914,0.5968
0.6684,0.6573,0.6875,0.6129
0.6526,0.618,0.6615,0.6613
0.6818,0.6124,0.6273,0.5968
0.6708,0.6067,0.7186,0.5645
0.6117,0.6966,0.7213,0.5806
0.6491,0.6124,0.6017,0.6452
0.6281,0.6573,0.6045,0.6774
0.6517,0.6124,0.6594,0.6935
0.5872,0.6966,0.5649,0.6935
0.5415,0.7135,0.7423,0.5968
0.5657,0.691,0.6358,0.7581
0.6566,0.6629,0.7626,0.6129
0.5521,0.7697,0.6739,0.6129
0.4312,0.809,0.6867,0.5806
0.4916,0.7697,0.665,0.6613
0.5917,0.7303,0.5898,0.7419
0.4189,0.7921,0.6626,0.7419
0.4454,0.7978,0.7498,0.6129
0.5466,0.736,0.7456,0.5
0.3405,0.8652,0.965,0.6129
0.3927,0.8427,0.4919,0.7903
0.3941,0.809,0.4741,0.8065
0.3834,0.8258,0.4674,0.7097
0.4414,0.7753,0.6985,0.6613
0.3041,0.8652,0.5082,0.7903
0.2902,0.8989,1.9282,0.4516
0.4947,0.7528,0.6979,0.7097
0.284,0.882,0.4107,0.8065
0.2694,0.882,0.4036,0.8226
0.1917,0.927,0.6615,0.6935
0.1104,0.9663,0.4655,0.7742
0.1985,0.9326,0.548,0.7258
0.1237,0.9551,0.4039,0.8548
0.2202,0.9213,0.8548,0.8226
0.0673,0.9831,0.3862,0.8548
0.0337,1,0.3872,0.8065
0.2682,0.8876,0.9397,0.8226
0.1252,0.9551,0.6538,0.8548
0.0895,0.9663,0.4683,0.7903
0.1225,0.9438,0.4595,0.9032
0.0558,0.9888,1.0532,0.8065
0.0402,0.9888,0.5817,0.8226
0.0974,0.9607,0.4691,0.8871
0.0711,0.9775,3.3816,0.5161
0.204,0.9101,0.5283,0.8387
0.2048,0.9326,0.2397,0.871
0.1024,0.9607,0.4769,0.8548
0.0481,0.9831,0.5199,0.871
0.0414,0.9831,0.5795,0.871
0.0757,0.9719,1.4216,0.7742
