Loss,Accuracy,valLoss,valAccuracy
0.987,0.5281,0.6927,0.5161
0.8293,0.5562,0.694,0.4839
0.6959,0.6629,0.7121,0.4839
0.7123,0.6348,0.7081,0.4839
0.7182,0.6404,0.7128,0.5484
0.62,0.6517,0.7294,0.6129
0.6637,0.6573,1.2152,0.5323
0.6069,0.6854,0.8421,0.6129
0.5019,0.764,1.0251,0.6129
0.5218,0.7416,1.9188,0.5484
0.5884,0.7303,1.5241,0.5484
0.5568,0.7528,0.6394,0.5323
0.5129,0.7528,0.6739,0.629
0.4725,0.7865,1.175,0.5484
0.4247,0.7865,8.4973,0.5161
0.4643,0.7921,1.3038,0.5161
0.3285,0.8427,0.5742,0.7742
0.2646,0.8764,0.3923,0.8548
0.241,0.8933,1.1393,0.5806
0.2326,0.9045,0.3486,0.8548
0.3085,0.8539,0.4389,0.8065
0.2221,0.9157,0.6904,0.7419
0.1866,0.9326,0.8236,0.6935
0.1584,0.9438,0.2746,0.8548
0.1119,0.9551,0.3256,0.871
0.1041,0.9607,0.635,0.7742
0.1422,0.9382,0.3871,0.8871
0.0594,0.9831,0.3178,0.8548
0.0549,0.9719,1.1964,0.6452
0.0892,0.9775,0.4264,0.8871
0.4078,0.8539,3.5664,0.5161
0.3779,0.8483,0.3993,0.8065
0.0895,0.9775,0.5663,0.8226
0.0921,0.9719,0.6459,0.7903
0.2075,0.9494,0.5364,0.8226
0.129,0.9551,0.7286,0.7903
0.0717,0.9775,0.9203,0.7903
0.0348,0.9888,0.3222,0.871
0.0066,1,0.3593,0.8548
0.0043,1,0.4461,0.8226
0.0034,1,0.4667,0.8387
0.0042,1,0.5576,0.8065
0.0018,1,0.5056,0.8226
7.98E-04,1,0.5148,0.8226
0.0102,1,0.6766,0.7903
0.0076,1,0.3625,0.8871
0.0042,1,1.0086,0.7581
0.0131,0.9944,0.265,0.9032
0.0022,1,0.3224,0.9032
7.44E-04,1,0.3708,0.9032
9.01E-04,1,0.4284,0.871
0.0012,1,0.4419,0.8871
9.69E-04,1,0.449,0.871
0.0016,1,0.3338,0.9194
0.0013,1,0.6866,0.8065
4.30E-04,1,0.6171,0.8226
5.24E-04,1,0.6836,0.8226
3.39E-04,1,0.6522,0.8226
2.92E-04,1,0.6247,0.8387
3.26E-04,1,0.5858,0.8548
4.89E-04,1,0.6744,0.8387
2.06E-04,1,0.6167,0.8548
2.39E-04,1,0.5834,0.8387
2.62E-04,1,0.6062,0.8387
1.77E-04,1,0.6274,0.8387
1.96E-04,1,0.5758,0.8387
1.06E-04,1,0.5779,0.8387
1.55E-04,1,0.6071,0.8387
8.87E-05,1,0.6015,0.8387
8.60E-05,1,0.5845,0.8387
6.17E-04,1,0.3468,0.9032
4.89E-04,1,0.6617,0.8548
1.49E-04,1,0.588,0.8548
1.39E-04,1,0.5628,0.8548
1.54E-04,1,0.6008,0.8548
7.36E-05,1,0.6154,0.8548
1.52E-04,1,0.5959,0.8548
1.24E-04,1,0.5763,0.8548
7.24E-05,1,0.6245,0.8548
8.98E-05,1,0.6003,0.8548
7.38E-05,1,0.6326,0.8548
5.39E-05,1,0.6641,0.8548
6.24E-05,1,0.6389,0.8548
5.89E-05,1,0.6347,0.8548
5.44E-05,1,0.728,0.8387
5.03E-05,1,0.7296,0.8387
3.53E-05,1,0.696,0.8548
5.56E-05,1,0.5899,0.8548
3.65E-05,1,0.5908,0.871
3.46E-05,1,0.6154,0.8548
4.30E-05,1,0.6692,0.8548
3.04E-05,1,0.6779,0.8548
3.09E-05,1,0.6574,0.8548
3.18E-05,1,0.6435,0.871
2.24E-05,1,0.6513,0.871
3.70E-05,1,0.6568,0.871
1.96E-05,1,0.639,0.871
2.06E-05,1,0.6418,0.871
2.67E-05,1,0.6377,0.871
0.7165,0.8202,597622912,0.4839
