Loss,Accuracy,valLoss,valAccuracy
0.852,0.5281,0.6931,0.5161
0.8836,0.5506,0.6971,0.4839
0.7687,0.5393,0.732,0.5161
0.7202,0.6124,0.6927,0.5161
0.6389,0.7022,0.891,0.5161
0.6487,0.6798,0.9716,0.5161
0.7087,0.6236,1.0335,0.5161
0.5989,0.6966,1.3619,0.5161
0.4763,0.7809,2.0621,0.5161
0.6216,0.6854,1.2833,0.5161
0.5897,0.691,1.019,0.5161
0.5811,0.6966,1.2823,0.5161
0.4959,0.7921,1.5632,0.5161
0.4884,0.7809,1.3213,0.5161
0.5745,0.7472,1.7873,0.5161
0.5693,0.7528,1.2431,0.5161
0.6023,0.7191,1.3774,0.5161
0.5281,0.7135,1.6585,0.5161
0.4888,0.764,1.7279,0.5161
0.4395,0.8146,1.4267,0.5161
0.42,0.7753,1.339,0.5161
0.3944,0.8539,1.4607,0.5161
0.4911,0.7584,1.6742,0.5161
0.5537,0.7303,1.5626,0.5161
0.3969,0.8483,1.4853,0.5161
0.4934,0.7753,2.2321,0.5161
0.4098,0.8371,2.4556,0.5161
0.4593,0.8371,1.5569,0.5161
0.3572,0.8708,1.9228,0.5161
0.351,0.8539,1.6662,0.5161
0.4592,0.7584,1.8126,0.5161
0.3091,0.882,1.4511,0.5161
0.1828,0.927,1.6013,0.5161
0.3218,0.8708,1.6321,0.5161
0.1887,0.9382,0.9716,0.5161
0.0888,0.9775,1.2452,0.5161
0.065,0.9663,1.4304,0.5161
0.0579,0.9831,1.3933,0.5161
0.173,0.9382,1.6855,0.5161
0.4048,0.8483,0.9559,0.5161
0.2071,0.9157,1.1438,0.5161
0.1791,0.927,1.3274,0.5161
0.2729,0.9157,1.2134,0.4355
0.0973,0.9663,0.7451,0.5484
0.2789,0.8989,1.1786,0.5161
0.3598,0.8652,0.8237,0.5161
0.0791,0.9888,2.2582,0.4839
0.023,1,0.8503,0.4194
0.0105,1,0.9162,0.5
0.0074,1,0.8739,0.5
0.0019,1,0.9065,0.4839
0.0024,1,0.9252,0.5
0.0031,1,0.8755,0.5645
0.0016,1,0.9034,0.5645
0.001,1,0.8627,0.5645
0.0011,1,0.8861,0.5806
0.0012,1,0.7572,0.5484
8.21E-04,1,0.7526,0.5806
9.79E-04,1,0.7352,0.5645
5.13E-04,1,0.7112,0.5806
4.92E-04,1,0.6797,0.5806
2.87E-04,1,0.6456,0.5968
8.13E-04,1,0.5993,0.629
3.51E-04,1,0.5657,0.6452
0.0024,1,0.6993,0.5968
0.4235,0.8258,1.3508,0.4677
0.6361,0.6573,9.831,0.4839
0.6077,0.7079,4.4024,0.4677
0.4121,0.8146,3.5803,0.4839
0.4466,0.8202,2.213,0.5968
0.1663,0.9382,2.6373,0.6452
0.1967,0.9494,2.9138,0.5645
0.2585,0.8764,11.875,0.4839
0.3063,0.8652,14.7165,0.4839
0.1777,0.9438,10.0971,0.5161
0.2918,0.8989,9.5268,0.4839
0.1493,0.9551,7.1204,0.4839
0.1574,0.9494,5.2947,0.5
0.0718,0.9719,5.5448,0.5
0.0103,1,4.8443,0.5806
0.0071,1,4.6212,0.5323
0.0051,1,5.5004,0.5645
0.0023,1,5.4732,0.5968
0.0025,1,4.8091,0.5968
8.63E-04,1,4.5416,0.5968
6.92E-04,1,4.188,0.6452
5.81E-04,1,3.9656,0.6774
7.41E-04,1,3.7508,0.6613
4.54E-04,1,3.5214,0.6613
6.64E-04,1,3.1129,0.6613
4.89E-04,1,2.7964,0.6774
6.16E-04,1,2.7133,0.6613
3.32E-04,1,2.6312,0.6452
1.78E-04,1,2.4755,0.629
3.61E-04,1,2.3428,0.629
3.30E-04,1,2.1612,0.6452
3.75E-04,1,2.0309,0.6452
1.66E-04,1,1.961,0.6452
1.47E-04,1,1.8956,0.6774
1.83E-04,1,1.859,0.6774
