Loss,Accuracy,valLoss,valAccuracy
1.2404,0.4888,0.8415,0.5161
0.7152,0.618,2.0005,0.4839
0.8537,0.5843,6.0788,0.4839
0.8044,0.5843,0.7485,0.5323
0.6535,0.618,1.4474,0.4194
0.6772,0.6348,1.5714,0.5968
0.7112,0.5899,0.6548,0.7097
0.5522,0.7584,1.4188,0.6452
0.5438,0.7584,1.8877,0.5
0.5878,0.691,0.8365,0.6613
0.6316,0.6629,0.9617,0.629
0.5498,0.7528,0.6571,0.6774
0.6142,0.6966,0.6771,0.629
0.5539,0.7697,6.6391,0.5645
0.7271,0.6124,0.8078,0.4839
0.5957,0.6798,1.0987,0.5484
0.4914,0.7865,1.8626,0.5323
0.5978,0.6854,1.1006,0.5645
0.5735,0.6854,0.6392,0.6935
0.5926,0.7247,64.1244,0.4839
0.6261,0.7079,0.7157,0.6613
0.5594,0.7416,0.8827,0.5645
0.6369,0.7079,1.2352,0.5968
0.5555,0.7528,1.9699,0.5806
0.5502,0.7247,0.4687,0.8065
0.4366,0.8202,0.6294,0.7419
0.6358,0.7135,0.5629,0.7581
0.5467,0.7472,5.1688,0.5
0.4559,0.7978,7.7905,0.5161
0.5761,0.6798,32.9077,0.5484
0.5741,0.7472,0.8497,0.7742
0.462,0.7809,1.3061,0.6452
0.3878,0.8483,0.3454,0.871
0.516,0.7416,0.5144,0.7742
0.4138,0.8202,0.8613,0.6613
0.4155,0.809,0.582,0.7742
0.2915,0.8933,0.4596,0.7419
0.2501,0.8989,1.982,0.4839
0.3494,0.8539,1.0834,0.7742
0.3575,0.8652,1.5994,0.5806
0.3922,0.8483,0.8619,0.871
0.2614,0.9045,1.6102,0.6935
0.2525,0.8989,0.3167,0.8548
0.2101,0.9213,0.7141,0.7581
0.2167,0.9157,0.4807,0.8226
0.132,0.9551,1.027,0.6452
0.3182,0.8876,0.4002,0.7903
0.302,0.8989,0.3544,0.9032
0.1385,0.9382,1.1592,0.5968
0.1541,0.9494,0.2663,0.9194
0.2081,0.927,2.1706,0.7097
0.2679,0.9157,10.1786,0.6129
0.2329,0.9045,0.5342,0.7258
0.1703,0.9157,1.4618,0.7258
0.2021,0.927,0.1877,0.9194
0.0674,0.9831,1.4216,0.7097
0.2351,0.9213,0.511,0.7258
0.1533,0.9494,0.2403,0.9194
0.1236,0.9663,0.4279,0.9032
0.068,0.9719,0.5459,0.871
0.3553,0.8764,10.4225,0.5323
0.3839,0.8258,1.4135,0.5806
0.132,0.9494,0.3159,0.871
0.1633,0.9494,4.1102,0.5645
0.1338,0.9551,0.5585,0.7097
0.2373,0.9101,8.8514,0.5161
0.2157,0.9101,0.5521,0.7742
0.0796,0.9607,0.2156,0.9355
0.0144,1,0.2969,0.9194
0.0891,0.9551,0.5797,0.871
0.0224,0.9944,0.1366,0.9516
0.0682,0.9775,0.6711,0.8387
0.0915,0.9719,0.2858,0.8871
0.221,0.9438,22.1987,0.6935
0.2777,0.8933,1.5467,0.6774
0.2469,0.8933,0.3124,0.871
0.0458,0.9888,0.3209,0.9032
0.0483,0.9775,0.3187,0.8871
0.0099,1,0.2481,0.9194
0.0024,1,0.2966,0.9194
0.004,1,0.3244,0.9194
0.6266,0.7416,64.5053,0.4516
0.3454,0.8708,9.698,0.5484
0.1949,0.9213,0.7022,0.5968
0.0964,0.9719,0.2326,0.9194
0.123,0.9607,0.2778,0.8871
0.0499,0.9888,0.2972,0.871
0.011,1,0.3814,0.8871
0.0042,1,0.4174,0.8871
0.0035,1,0.3193,0.9032
0.0037,1,0.3522,0.9194
0.0076,1,0.6018,0.9032
0.0364,0.9944,0.4427,0.9355
0.1672,0.9551,0.935,0.8226
0.0428,0.9831,0.5216,0.9032
0.0141,1,0.3432,0.9194
0.024,0.9888,0.2375,0.9032
0.206,0.9045,3.3156,0.7419
0.1465,0.9494,0.1685,0.9677
0.2143,0.9101,0.3322,0.8387
