Loss,Accuracy,valLoss,valAccuracy
0.6339,0.7075,0.801,0.5
0.3983,0.82,0.932,0.495
0.2023,0.91,10.9745,0.5
0.2035,0.9025,2.9143,0.515
0.0305,0.9975,1.315,0.59
0.0049,1,1.7409,0.58
0.0018,1,1.5114,0.625
0.0048,1,1.8279,0.62
0.0071,0.9975,1.5386,0.61
0.001,1,1.5007,0.65
0.119,0.97,329.1779,0.5
0.8949,0.72,1.2889,0.715
0.4701,0.795,0.5807,0.76
0.2072,0.93,8.2916,0.495
0.404,0.845,1.0803,0.675
0.1497,0.945,0.6904,0.7
0.0133,0.9975,0.8735,0.715
0.0035,1,0.7511,0.77
0.0018,1,1.0095,0.71
0.0014,1,1.2993,0.675
0.0012,1,1.4656,0.68
6.56E-04,1,1.3585,0.69
5.75E-04,1,1.2346,0.72
3.64E-04,1,1.3563,0.695
3.96E-04,1,1.4126,0.69
3.39E-04,1,1.6904,0.695
2.67E-04,1,1.4161,0.71
2.92E-04,1,1.7046,0.695
2.69E-04,1,1.7205,0.68
1.62E-04,1,1.8414,0.68
1.52E-04,1,1.6754,0.69
1.38E-04,1,1.5902,0.705
9.75E-05,1,1.7523,0.695
9.50E-05,1,1.8962,0.685
1.01E-04,1,2.0147,0.685
7.99E-05,1,2.0649,0.685
7.38E-05,1,1.7916,0.695
6.47E-05,1,2.0027,0.675
0.2915,0.915,121.8559,0.5
0.6931,0.76,0.8937,0.725
0.3202,0.88,1.5818,0.55
0.0672,0.9825,1.4038,0.535
0.005,1,1.6454,0.58
0.0025,1,1.5407,0.61
0.0051,1,0.5373,0.85
0.0014,1,0.8096,0.8
6.28E-04,1,0.9771,0.79
9.21E-04,1,0.7834,0.805
5.14E-04,1,0.9659,0.785
2.84E-04,1,1.0437,0.785
2.32E-04,1,0.987,0.79
1.76E-04,1,1.0302,0.79
0.3021,0.9125,4.8306,0.545
0.2538,0.9025,1.2703,0.58
0.0424,0.9875,1.4221,0.575
0.0042,1,1.4169,0.605
0.0026,1,1.878,0.56
0.0025,1,1.4651,0.64
0.0012,1,1.7732,0.59
8.89E-04,1,1.9442,0.585
4.96E-04,1,1.8748,0.6
6.41E-04,1,1.928,0.6
3.55E-04,1,1.9493,0.605
2.69E-04,1,1.8918,0.595
1.84E-04,1,1.9521,0.6
1.81E-04,1,2.0966,0.6
1.93E-04,1,2.2787,0.6
1.49E-04,1,2.2767,0.6
9.22E-05,1,2.1212,0.605
8.44E-05,1,2.075,0.62
1.06E-04,1,1.9484,0.645
7.99E-05,1,2.3379,0.6
5.69E-05,1,2.4015,0.6
3.78E-05,1,2.3775,0.605
3.69E-05,1,2.5092,0.6
4.29E-05,1,2.6715,0.595
2.66E-05,1,2.7011,0.6
3.24E-05,1,2.6804,0.6
2.10E-05,1,2.7807,0.6
2.43E-05,1,2.9223,0.57
2.48E-05,1,2.7474,0.595
1.60E-05,1,2.5889,0.6
9.93E-06,1,3.0682,0.58
1.08E-05,1,3.2146,0.565
7.23E-06,1,3.1627,0.57
7.13E-06,1,3.2129,0.57
6.21E-06,1,3.284,0.57
6.82E-06,1,3.4893,0.565
1.09E-05,1,3.5472,0.56
5.10E-06,1,3.5825,0.555
1.14E-05,1,3.0282,0.63
4.99E-06,1,3.4703,0.59
4.35E-06,1,3.5913,0.575
4.63E-06,1,3.5301,0.555
4.20E-06,1,3.4997,0.565
5.35E-06,1,2.8667,0.63
3.32E-06,1,3.7675,0.565
3.34E-06,1,3.7639,0.555
2.29E-06,1,4.1342,0.55
1.46E-06,1,3.9178,0.555
