Loss,Accuracy,valLoss,valAccuracy
1.1459,0.7175,1.4838,0.5
0.7401,0.6875,0.9797,0.535
0.4581,0.8325,1.264,0.62
0.2508,0.9075,1.113,0.69
0.0953,0.9725,1.1027,0.675
0.0481,0.99,1.4313,0.675
0.1053,0.9675,1.923,0.65
0.0027,1,1.1806,0.69
0.0015,1,1.1787,0.68
9.26E-04,1,1.5233,0.645
7.99E-04,1,1.4886,0.655
4.05E-04,1,1.6196,0.655
0.376,0.8675,30.9164,0.505
0.1423,0.95,1.3329,0.62
0.0478,0.9875,1.3194,0.65
0.0155,0.995,1.5777,0.59
0.0049,1,1.1114,0.68
9.89E-04,1,1.3425,0.64
0.0012,1,1.3317,0.655
4.25E-04,1,1.396,0.65
3.10E-04,1,1.5214,0.635
2.62E-04,1,1.4724,0.645
2.87E-04,1,1.6025,0.635
1.84E-04,1,1.6511,0.635
1.56E-04,1,1.7264,0.63
1.42E-04,1,1.7578,0.63
1.06E-04,1,1.6539,0.645
1.20E-04,1,1.8411,0.635
6.28E-05,1,2.0221,0.62
5.64E-05,1,1.9658,0.63
4.72E-05,1,1.9139,0.635
4.61E-05,1,1.9,0.64
4.00E-05,1,1.8785,0.645
3.26E-05,1,2.0211,0.635
2.71E-05,1,2.0815,0.635
2.97E-05,1,2.1311,0.63
1.22E-05,1,2.0036,0.645
1.32E-05,1,2.0835,0.645
1.14E-05,1,2.0421,0.64
1.45E-05,1,2.1739,0.64
1.15E-05,1,2.1562,0.635
1.23E-05,1,2.57,0.62
1.03E-05,1,2.309,0.64
5.85E-06,1,2.29,0.64
5.81E-06,1,2.3324,0.64
2.98E-06,1,2.257,0.635
5.15E-06,1,2.6456,0.63
4.43E-06,1,2.4599,0.635
3.51E-06,1,2.5967,0.63
0.6277,0.8375,335782.8125,0.5
0.6369,0.745,15.2793,0.41
0.4938,0.7725,2.1399,0.445
0.19,0.9275,5.0394,0.495
0.0597,0.98,2.2319,0.545
0.0265,0.99,1.9171,0.46
0.0114,0.995,2.6223,0.635
0.0045,1,2.609,0.45
0.0023,1,3.0381,0.58
0.0015,1,2.2962,0.555
4.17E-04,1,2.3323,0.595
2.75E-04,1,2.2598,0.615
1.88E-04,1,2.2502,0.595
1.40E-04,1,2.2753,0.6
1.60E-04,1,2.3912,0.6
9.86E-05,1,2.2785,0.61
1.43E-04,1,2.2771,0.6
8.67E-05,1,2.4043,0.595
1.08E-04,1,2.2954,0.615
6.43E-05,1,2.3564,0.605
4.74E-05,1,2.4281,0.6
3.40E-05,1,2.401,0.61
3.17E-05,1,2.3558,0.62
2.35E-05,1,2.3045,0.625
2.45E-05,1,2.3284,0.625
1.63E-05,1,2.4479,0.62
3.35E-05,1,2.5937,0.6
5.59E-05,1,2.5198,0.59
2.76E-05,1,2.419,0.605
3.42E-05,1,2.2495,0.645
2.54E-05,1,2.4977,0.63
9.38E-06,1,2.3114,0.65
9.82E-06,1,2.3832,0.655
7.19E-06,1,2.4796,0.65
6.13E-06,1,2.3259,0.655
6.62E-06,1,2.5635,0.64
4.83E-06,1,2.6011,0.645
4.10E-06,1,2.6699,0.645
5.71E-06,1,2.5084,0.66
2.49E-06,1,2.5492,0.66
2.30E-06,1,2.5929,0.655
1.15E-05,1,2.4934,0.67
2.17E-06,1,2.5001,0.66
2.75E-06,1,2.6986,0.655
1.93E-06,1,2.7899,0.655
1.17E-06,1,2.805,0.655
1.39E-06,1,2.7331,0.65
9.96E-07,1,2.8289,0.645
7.26E-07,1,2.8447,0.64
1.09E-06,1,2.809,0.65
7.28E-07,1,2.7636,0.645
