Loss,Accuracy,valLoss,valAccuracy
1.7136,0.5333,0.9287,0.5
0.7709,0.6778,1.0104,0.5
0.7868,0.6926,33.1577,0.5
0.5902,0.7333,8.5114,0.6889
0.7379,0.7111,2.4476,0.7667
0.6235,0.7444,0.5651,0.7778
0.4504,0.8259,0.3526,0.8667
0.4549,0.7963,0.4635,0.9333
0.3201,0.8741,0.8764,0.6222
0.199,0.9296,1.9292,0.6778
0.1759,0.9259,1.0723,0.5778
0.2542,0.9222,0.7863,0.7667
0.3796,0.8741,1.1124,0.8667
0.6411,0.6963,1.2907,0.6556
0.2874,0.8963,1.1097,0.5
0.1179,0.9481,0.5196,0.7444
0.0283,0.9963,0.8788,0.7667
0.0994,0.9741,3.7735,0.5778
0.0495,0.9815,1.2119,0.6889
0.0423,0.9852,5.0113,0.5
0.0227,0.9963,0.8533,0.7444
0.0143,0.9963,0.5652,0.8333
0.0141,0.9963,0.3061,0.9333
0.2015,0.937,2.4026,0.8889
0.0076,1,1.309,0.8556
0.0074,1,0.5554,0.8667
0.0014,1,0.5272,0.9222
0.0059,1,0.3781,0.9444
0.0012,1,0.3711,0.8778
0.0015,1,0.6245,0.7889
0.0034,1,0.558,0.8556
5.48E-04,1,0.2693,0.9222
8.38E-04,1,0.159,0.9667
3.45E-04,1,0.1644,0.9556
0.0063,1,1.0948,0.6889
0.1075,0.9852,1.7242,0.7889
0.0059,1,0.331,0.9
0.0107,0.9926,0.1067,0.9667
0.2556,0.9185,6.0478,0.4667
0.0819,0.9778,1.1863,0.8222
0.089,0.963,0.8022,0.6667
0.0154,0.9963,0.4647,0.8889
0.0137,0.9963,0.7839,0.8
0.0017,1,0.3554,0.8889
0.0033,1,0.3132,0.9
0.0016,1,0.3184,0.9111
0.0013,1,0.2405,0.9111
0.0011,1,0.4127,0.9
0.0035,1,0.4243,0.8889
5.99E-04,1,0.3609,0.9
7.19E-04,1,0.2885,0.9222
3.60E-04,1,0.3468,0.9111
2.05E-04,1,0.3849,0.9111
4.39E-04,1,0.4717,0.8667
1.89E-04,1,0.512,0.8667
2.37E-04,1,0.5378,0.8556
2.39E-04,1,0.4553,0.8778
1.96E-04,1,0.5608,0.8556
9.81E-05,1,0.6194,0.8556
1.23E-04,1,0.4995,0.8667
1.40E-04,1,0.3332,0.9222
9.73E-04,1,0.3381,0.9
3.16E-04,1,0.3108,0.9222
3.15E-04,1,0.3535,0.9222
1.44E-04,1,0.2982,0.9222
1.81E-04,1,0.229,0.9222
1.41E-04,1,0.2408,0.9333
4.61E-05,1,0.2858,0.9222
3.84E-05,1,0.3205,0.9222
4.76E-05,1,0.3109,0.9222
6.22E-05,1,0.3225,0.9222
3.62E-05,1,0.3496,0.9222
2.51E-05,1,0.3928,0.9222
2.50E-05,1,0.3541,0.9222
3.12E-05,1,0.3934,0.9222
2.60E-05,1,0.3604,0.9222
1.94E-05,1,0.3675,0.9222
3.16E-05,1,0.3282,0.9222
2.25E-05,1,0.3385,0.9222
2.61E-05,1,0.3694,0.9222
2.07E-05,1,0.4067,0.9222
3.11E-05,1,0.3895,0.9222
1.72E-05,1,0.3897,0.9222
1.28E-05,1,0.4037,0.9222
1.39E-05,1,0.3845,0.9222
9.35E-06,1,0.3603,0.9222
2.17E-05,1,0.3611,0.9222
1.30E-05,1,0.3986,0.9222
1.62E-05,1,0.3527,0.9222
7.51E-06,1,0.3779,0.9222
9.77E-06,1,0.4292,0.9111
9.86E-06,1,0.4141,0.9222
1.20E-05,1,0.2774,0.9222
1.19E-05,1,0.4585,0.9111
6.60E-06,1,0.4404,0.9111
6.48E-06,1,0.3738,0.9222
1.05E-05,1,0.3648,0.9222
8.80E-06,1,0.3357,0.9222
5.72E-06,1,0.3295,0.9222
5.66E-06,1,0.3572,0.9222
