Loss,Accuracy,valLoss,valAccuracy
0.9326,0.5815,0.7081,0.5
0.7872,0.6741,0.8059,0.5
0.6027,0.7111,0.7237,0.5778
0.4449,0.7926,1.1954,0.4889
0.3674,0.8519,1.4839,0.6556
0.3719,0.8333,4.2509,0.5
0.2554,0.8926,0.3049,0.9222
0.1878,0.9185,0.8997,0.7667
0.1585,0.9444,2.7475,0.5222
0.1534,0.9519,6.7239,0.5
0.1152,0.9741,1.5281,0.5556
0.0928,0.9778,1.5786,0.5444
0.1932,0.937,6.4584,0.5
0.2224,0.9333,4.5175,0.4667
0.0597,0.9778,1.9625,0.5
0.1512,0.9444,4.6702,0.4667
0.16,0.9481,1.8542,0.4667
0.0573,0.9815,1.7059,0.4667
0.057,0.9778,1.7442,0.5444
0.0875,0.9778,0.7897,0.7667
0.0589,0.9815,3.9454,0.5
0.035,0.9815,4.669,0.4667
0.104,0.9667,20.4821,0.5
0.0702,0.9815,4.8264,0.4222
0.105,0.963,1.3059,0.7
0.0515,0.9852,2.3158,0.5
0.015,0.9963,1.0963,0.6889
0.0089,0.9963,0.5731,0.8556
0.0318,0.9852,3.2549,0.5
0.0221,0.9889,6.098,0.5
0.0026,1,1.7258,0.5778
8.57E-04,1,1.2413,0.6667
0.0015,1,0.6519,0.8222
6.62E-04,1,0.5266,0.8778
5.12E-04,1,0.6659,0.8222
3.84E-04,1,0.7694,0.8111
2.54E-04,1,0.8086,0.8
1.89E-04,1,0.8283,0.8
4.29E-04,1,0.714,0.8111
4.29E-04,1,0.7641,0.8222
1.91E-04,1,0.8614,0.7778
1.76E-04,1,0.9504,0.7556
1.63E-04,1,0.866,0.7778
1.04E-04,1,0.8411,0.7778
1.15E-04,1,0.8768,0.7778
9.64E-05,1,0.8336,0.7778
9.38E-05,1,0.8131,0.7889
0.0036,0.9963,4.0443,0.4778
0.3965,0.8815,44.4055,0.5
0.1053,0.9667,0.4025,0.8778
0.0353,0.9926,1.7053,0.5889
0.0679,0.9778,0.5802,0.8778
0.0778,0.9926,0.4029,0.8
0.0052,1,0.1537,0.9444
0.0013,1,0.1288,0.9444
8.74E-04,1,0.1244,0.9444
5.63E-04,1,0.1193,0.9556
6.22E-04,1,0.1138,0.9444
7.74E-04,1,0.1338,0.9333
4.70E-04,1,0.1299,0.9333
3.50E-04,1,0.1254,0.9333
2.60E-04,1,0.1199,0.9333
3.02E-04,1,0.1024,0.9444
2.31E-04,1,0.1046,0.9444
2.34E-04,1,0.1081,0.9333
2.14E-04,1,0.1097,0.9333
2.15E-04,1,0.1085,0.9333
1.47E-04,1,0.1155,0.9444
1.58E-04,1,0.1257,0.9444
1.16E-04,1,0.1135,0.9444
1.24E-04,1,0.1109,0.9444
2.59E-04,1,0.0999,0.9556
1.08E-04,1,0.0966,0.9556
1.06E-04,1,0.1003,0.9556
8.17E-05,1,0.1062,0.9444
7.54E-05,1,0.0953,0.9444
7.86E-05,1,0.0918,0.9667
6.45E-05,1,0.0929,0.9556
5.85E-05,1,0.0882,0.9667
4.51E-05,1,0.0878,0.9556
6.44E-05,1,0.0969,0.9444
4.75E-05,1,0.0869,0.9556
3.44E-05,1,0.0867,0.9667
3.77E-05,1,0.0875,0.9667
7.67E-05,1,0.2082,0.9111
6.80E-05,1,0.1145,0.9333
3.97E-05,1,0.0869,0.9556
2.31E-05,1,0.0804,0.9667
3.00E-05,1,0.0715,0.9667
2.59E-05,1,0.0715,0.9667
2.16E-05,1,0.0587,0.9889
3.21E-05,1,0.0879,0.9556
2.10E-05,1,0.0939,0.9556
1.73E-05,1,0.0807,0.9667
1.36E-05,1,0.072,0.9667
1.49E-05,1,0.0688,0.9667
1.48E-05,1,0.0708,0.9667
1.18E-05,1,0.0625,0.9778
1.51E-05,1,0.059,0.9778
1.71E-05,1,0.0511,0.9778
