Loss,Accuracy,valLoss,valAccuracy
1.6664,0.5778,1.199,0.5
0.9706,0.563,0.8212,0.5
0.7444,0.6407,4.1022,0.5
0.5896,0.7481,0.6237,0.6667
0.5014,0.7963,16.8298,0.5
0.2318,0.9259,0.3419,0.8333
0.2673,0.9185,15.5854,0.6
0.3361,0.8778,4.3141,0.5
0.1202,0.9741,1.39,0.5444
0.1731,0.9519,5.9165,0.4667
0.1111,0.9778,7.9797,0.5
0.1862,0.9593,3.5663,0.5
0.4601,0.8037,2.4217,0.6222
0.2194,0.9296,0.9228,0.7
0.0505,0.9852,0.5988,0.8444
0.1035,0.963,1.6366,0.7556
0.0155,0.9963,0.0486,0.9778
0.0026,1,0.0306,0.9889
0.0036,1,0.1212,0.9556
0.0022,1,0.1271,0.9444
9.35E-04,1,0.0739,0.9778
0.0307,0.9963,0.4464,0.8111
0.0321,0.9852,0.0309,0.9889
0.0995,0.9704,2.3879,0.5
0.2362,0.9259,15.2539,0.5
0.2871,0.9074,2.3524,0.8222
0.0896,0.9704,0.4129,0.8778
0.0177,0.9963,0.2256,0.9333
0.0088,1,0.8482,0.8
0.0065,1,0.0552,0.9889
0.0028,1,0.0081,1
5.58E-04,1,0.002,1
4.22E-04,1,0.0017,1
4.88E-04,1,0.0015,1
3.21E-04,1,0.0017,1
5.52E-04,1,0.002,1
2.46E-04,1,0.0013,1
2.13E-04,1,0.0011,1
0.4763,0.9185,35.7841,0.5
0.2778,0.9,3.6287,0.5333
0.2704,0.9037,0.4626,0.8333
0.0777,0.9667,0.1843,0.9111
0.0211,0.9963,0.44,0.8222
0.0374,0.9889,0.3823,0.8889
0.0364,0.9815,0.3036,0.9667
0.0498,0.9852,2.9059,0.5667
0.1793,0.9519,0.1571,0.9444
0.0055,1,0.1658,0.9111
0.0052,1,0.1222,0.9444
0.0113,0.9963,0.1296,0.9444
0.0028,1,0.1117,0.9444
0.026,0.9889,3.6525,0.6111
0.1437,0.9481,1.69,0.7889
0.0907,0.9704,0.7908,0.7667
0.0165,0.9926,2.4119,0.5778
0.0718,0.9741,6.8857,0.5
0.0121,0.9963,0.3712,0.8778
0.007,0.9963,0.0816,0.9667
0.0019,1,0.1877,0.9111
0.0011,1,0.1921,0.9222
3.13E-04,1,0.1921,0.9333
1.87E-04,1,0.1703,0.9333
1.51E-04,1,0.173,0.9333
2.79E-04,1,0.1585,0.9333
1.40E-04,1,0.1735,0.9333
1.91E-04,1,0.1937,0.9333
0.2384,0.9407,58.1424,0.5
1.2209,0.5741,1.4444,0.6556
0.8697,0.5519,0.8404,0.5
0.8737,0.5222,0.76,0.5444
0.6962,0.5889,0.6353,0.6333
0.6867,0.5926,1.7674,0.5556
0.5103,0.7815,3.2309,0.5111
0.245,0.9222,1.4405,0.7222
0.0205,0.9963,0.0978,0.9778
0.1191,0.9667,0.6832,0.7111
0.1015,0.9741,0.4398,0.8667
0.2415,0.9333,0.2428,0.9
0.0103,1,0.1949,0.9444
0.0117,0.9963,0.2681,0.9444
0.1621,0.9296,1.0722,0.7778
0.0212,0.9963,0.1344,0.9556
0.0031,1,0.113,0.9556
0.0013,1,0.1138,0.9556
0.001,1,0.1312,0.9667
0.0017,1,0.0796,0.9667
0.0028,1,0.0309,0.9889
4.74E-04,1,0.0219,1
6.97E-04,1,0.0503,0.9778
2.80E-04,1,0.0406,0.9889
2.62E-04,1,0.036,0.9889
2.48E-04,1,0.0379,0.9889
2.92E-04,1,0.0341,0.9889
2.64E-04,1,0.045,0.9778
1.73E-04,1,0.0504,0.9778
1.23E-04,1,0.0392,0.9889
1.07E-04,1,0.0388,0.9889
2.29E-04,1,0.0399,0.9889
5.58E-05,1,0.0387,0.9889
5.85E-05,1,0.036,0.9889
