Loss,Accuracy,valLoss,valAccuracy
0.893,0.6296,0.7084,0.5
0.695,0.6741,0.7992,0.5
0.6757,0.663,1.0035,0.5
0.6538,0.663,0.7667,0.6
0.48,0.8037,0.8918,0.5667
0.2922,0.8778,0.5021,0.8667
0.321,0.8741,2.4476,0.6778
0.3605,0.8333,2.3027,0.5333
0.1974,0.9296,0.3091,0.9111
0.156,0.9519,2.4454,0.6778
0.2067,0.9185,2.3125,0.7667
0.1487,0.9519,0.4851,0.8111
0.0712,0.9815,0.2486,0.9111
0.0081,1,0.2564,0.9
0.0033,1,0.2816,0.9
0.0335,0.9889,1.3154,0.6222
0.1074,0.9667,0.489,0.8667
0.033,0.9926,0.5801,0.8667
0.0058,1,0.2756,0.9111
0.002,1,0.3278,0.9333
0.0017,1,0.3051,0.9111
9.53E-04,1,0.3513,0.9333
0.0282,0.9889,32.1676,0.5
0.271,0.9,0.3793,0.9
0.1333,0.9593,0.2722,0.9111
0.1249,0.963,0.3598,0.9222
0.0129,1,0.2364,0.9
0.121,0.963,2.9631,0.6333
0.0091,0.9963,0.282,0.9222
0.0055,1,0.3477,0.9
0.002,1,0.3939,0.9444
0.0019,1,0.3027,0.9222
0.0046,1,0.4192,0.9
0.0012,1,0.4274,0.9
7.41E-04,1,0.4671,0.9111
7.39E-04,1,0.4471,0.9111
4.54E-04,1,0.4304,0.9111
2.77E-04,1,0.4343,0.9111
2.42E-04,1,0.4295,0.9111
1.69E-04,1,0.436,0.9111
0.0046,1,0.4205,0.9111
0.216,0.963,2.1606,0.5444
0.0389,0.9889,0.2682,0.9333
0.0017,1,0.1717,0.9444
0.0383,0.9852,0.238,0.9444
0.0028,1,0.2661,0.9444
0.0017,1,0.2777,0.9444
0.1346,0.9556,0.1765,0.9333
0.0091,0.9963,0.2578,0.9333
9.82E-04,1,0.2085,0.9444
0.1148,0.9778,0.7662,0.7889
0.0045,1,0.2886,0.9444
0.0013,1,0.3197,0.9444
5.00E-04,1,0.3442,0.9444
5.27E-04,1,0.3152,0.9556
2.92E-04,1,0.3571,0.9444
2.89E-04,1,0.3016,0.9556
5.37E-04,1,0.2569,0.9556
0.1014,0.9778,4.5209,0.5444
0.0752,0.9741,0.6828,0.9111
0.0148,0.9926,0.4506,0.8889
0.0018,1,0.4225,0.9
0.002,1,0.3342,0.9444
8.35E-04,1,0.3476,0.9333
5.28E-04,1,0.3628,0.9222
0.0012,1,0.3523,0.9222
2.67E-04,1,0.3657,0.9222
2.11E-04,1,0.374,0.9222
1.83E-04,1,0.3781,0.9333
2.12E-04,1,0.3795,0.9333
1.28E-04,1,0.3842,0.9333
1.33E-04,1,0.3765,0.9333
1.08E-04,1,0.3771,0.9333
1.67E-04,1,0.3872,0.9222
7.04E-05,1,0.3938,0.9222
5.71E-05,1,0.4032,0.9333
5.32E-05,1,0.4049,0.9222
1.09E-04,1,0.4124,0.9222
8.32E-05,1,0.4107,0.9222
7.89E-05,1,0.4022,0.9222
5.94E-05,1,0.4143,0.9111
2.37E-04,1,0.4068,0.9222
4.68E-05,1,0.4057,0.9333
3.70E-05,1,0.4148,0.9222
4.60E-05,1,0.4094,0.9333
6.06E-05,1,0.4254,0.9333
5.01E-05,1,0.4002,0.9222
2.09E-05,1,0.4049,0.9222
4.49E-05,1,0.428,0.9222
2.61E-05,1,0.4198,0.9222
3.26E-05,1,0.4228,0.9222
1.67E-05,1,0.4296,0.9333
1.36E-05,1,0.4304,0.9333
3.73E-04,1,0.5203,0.9444
1.31E-04,1,0.201,0.9444
4.74E-05,1,0.2052,0.9556
3.58E-05,1,0.2718,0.9222
3.08E-05,1,0.2527,0.9222
6.87E-05,1,0.175,0.9556
2.44E-05,1,0.1832,0.9667
