Loss,Accuracy,valLoss,valAccuracy
0.7206,0.654,2.1924,0.32
0.5826,0.738,10.0087,0.69
0.5671,0.716,0.6593,0.59
0.4378,0.826,1.1466,0.42
0.3759,0.886,0.3164,0.89
0.3525,0.89,1.036,0.72
0.4319,0.834,0.5194,0.87
0.2881,0.926,1.1134,0.58
0.1705,0.948,0.3345,0.87
0.2406,0.906,3.4994,0.31
0.1707,0.95,0.2382,0.9
0.1946,0.924,1.1773,0.46
0.3051,0.888,18.1071,0.31
0.2075,0.936,0.2183,0.91
0.1082,0.968,0.2143,0.91
0.1415,0.952,2.2004,0.45
0.1316,0.966,2.6011,0.45
0.1201,0.97,0.3084,0.91
0.277,0.91,0.5722,0.78
0.1493,0.96,0.7555,0.78
0.1738,0.95,0.321,0.91
0.0729,0.974,0.2407,0.91
0.117,0.974,0.8163,0.72
0.0976,0.976,0.4461,0.86
0.1064,0.964,2.4568,0.75
0.1176,0.972,0.3846,0.89
0.8142,0.618,0.7071,0.58
0.7156,0.526,0.9502,0.53
0.5914,0.662,1.1595,0.53
0.4256,0.822,0.6043,0.7
0.2976,0.876,1.5262,0.53
0.22,0.934,1.4549,0.64
0.2493,0.896,0.9312,0.42
0.1352,0.96,1.654,0.31
0.1058,0.974,1.246,0.63
0.1039,0.962,3.5217,0.67
0.0669,0.978,3.7185,0.72
0.0809,0.97,1.3306,0.72
0.0938,0.97,1.3958,0.78
0.1013,0.964,1.3978,0.69
0.0475,0.98,1.27,0.61
0.09,0.966,0.9048,0.75
0.0449,0.986,1.0964,0.72
0.0422,0.988,1.027,0.76
0.02,0.994,1.5656,0.68
0.1784,0.94,0.8862,0.3
0.1072,0.966,2.0185,0.66
0.0385,0.988,1.7646,0.66
0.0158,0.996,1.7555,0.68
0.0244,0.99,1.2577,0.68
0.0954,0.972,0.9145,0.57
0.0927,0.974,1.0509,0.31
0.0633,0.984,0.9385,0.77
0.0101,0.998,1.0925,0.77
0.0098,0.994,1.3608,0.75
0.0343,0.99,1.8836,0.69
0.0546,0.982,1.1784,0.78
0.0388,0.986,1.9253,0.69
0.0689,0.978,0.9381,0.78
0.0042,1,1.2157,0.75
0.0024,1,1.5333,0.8
0.0776,0.99,1.9078,0.67
0.0736,0.97,1.8101,0.74
0.0138,0.994,2.0806,0.8
0.0196,0.994,0.8581,0.79
0.0024,1,0.6887,0.83
7.01E-04,1,0.7982,0.82
0.0015,1,0.9845,0.77
2.38E-04,1,1.0306,0.79
0.002,0.998,1.6965,0.83
8.23E-04,1,1.4382,0.76
4.73E-05,1,1.4858,0.76
1.48E-04,1,1.4792,0.76
8.41E-05,1,1.5165,0.76
1.11E-04,1,1.5828,0.79
2.95E-05,1,1.6202,0.78
2.28E-05,1,1.5831,0.78
7.64E-05,1,1.5837,0.77
6.31E-05,1,1.6903,0.79
4.05E-05,1,1.6814,0.78
1.03E-04,1,1.9226,0.79
2.40E-05,1,1.7154,0.81
0.1716,0.97,13.7107,0.7
0.327,0.894,1.1995,0.75
0.0783,0.978,1.1514,0.7
0.0566,0.98,1.8029,0.65
0.0634,0.982,1.596,0.65
0.0286,0.99,0.6536,0.78
0.0221,0.992,1.5546,0.76
0.0037,1,1.6092,0.72
0.0026,1,1.5304,0.73
0.1165,0.962,0.8005,0.76
0.0331,0.992,0.7023,0.8
0.0578,0.986,1.4602,0.72
0.0038,1,1.5993,0.73
0.0547,0.978,1.1228,0.76
0.0648,0.98,2.1414,0.64
0.0041,0.998,1.7752,0.69
0.0014,1,1.8935,0.71
0.0031,1,1.8361,0.73
