Loss,Accuracy,valLoss,valAccuracy
0.6573,0.698,1.038,0.3
0.5138,0.772,5.7902,0.71
0.2862,0.898,1.246,0.47
0.1401,0.956,0.6703,0.7
0.2098,0.922,3.9359,0.69
0.1882,0.936,0.6146,0.87
0.031,0.998,0.323,0.91
0.0343,0.99,2.1801,0.34
0.1131,0.968,0.9563,0.69
0.115,0.964,1.1664,0.58
0.0387,0.986,0.4775,0.87
0.1997,0.948,0.5039,0.85
0.0536,0.984,1.4776,0.78
0.0698,0.976,0.6604,0.83
0.0755,0.984,4.3375,0.37
0.1607,0.956,0.8019,0.71
0.0162,0.994,0.4944,0.89
0.0398,0.994,0.5246,0.87
0.0154,0.996,0.4333,0.93
0.1458,0.96,2.0576,0.39
0.1528,0.966,0.3974,0.91
0.0171,0.994,0.5341,0.9
0.0283,0.992,0.6012,0.86
0.0491,0.986,0.6164,0.86
0.0342,0.992,0.4718,0.92
0.006,0.998,0.5372,0.9
0.0011,1,0.5312,0.9
6.16E-04,1,0.5917,0.9
6.03E-04,1,0.5979,0.91
3.58E-04,1,0.6292,0.91
3.04E-04,1,0.6563,0.9
5.66E-04,1,0.715,0.9
9.41E-04,1,0.5367,0.91
3.31E-04,1,0.5689,0.91
2.22E-04,1,0.6429,0.91
2.27E-04,1,0.7041,0.91
1.12E-04,1,0.6305,0.91
1.83E-04,1,0.641,0.91
1.09E-04,1,0.5965,0.91
0.0011,1,0.6346,0.9
8.71E-04,1,0.8488,0.89
2.20E-04,1,0.9899,0.89
3.30E-05,1,1.0329,0.89
0.221,0.956,19.1144,0.72
0.0881,0.976,0.9717,0.73
0.0053,1,0.6454,0.85
0.0356,0.994,1.1938,0.81
0.0619,0.98,0.7527,0.79
0.1454,0.978,1.5757,0.87
0.0421,0.986,0.438,0.91
0.0088,0.998,0.5138,0.88
0.0497,0.986,0.5137,0.89
0.0057,0.998,0.6339,0.88
0.092,0.978,0.6687,0.82
0.118,0.974,0.2502,0.91
0.018,0.992,0.3976,0.9
0.0018,1,0.5134,0.89
0.0014,1,0.5257,0.89
9.02E-04,1,0.5676,0.89
5.98E-04,1,0.584,0.89
3.35E-04,1,0.6208,0.89
3.50E-04,1,0.5836,0.9
0.1045,0.976,0.5305,0.9
0.0328,0.99,0.623,0.88
0.0454,0.99,0.7986,0.83
0.0217,0.996,0.4605,0.91
0.0012,1,0.4889,0.91
7.60E-04,1,0.5625,0.91
5.26E-04,1,0.5695,0.91
3.14E-04,1,0.5746,0.91
3.04E-04,1,0.6096,0.91
0.0343,0.99,2.3971,0.74
0.1685,0.97,0.4246,0.92
0.1178,0.972,0.5266,0.8
0.0075,0.998,0.4558,0.87
0.0019,1,0.5056,0.87
0.0025,1,0.4789,0.89
8.65E-04,1,0.523,0.89
5.29E-04,1,0.5627,0.88
0.0012,1,0.5416,0.88
6.17E-04,1,0.5726,0.88
3.18E-04,1,0.5715,0.9
2.92E-04,1,0.5881,0.91
0.1753,0.962,1.0302,0.72
0.0758,0.99,2.6554,0.32
0.0055,1,0.4263,0.9
0.0054,0.998,0.5017,0.89
0.0013,1,0.5992,0.87
0.0021,1,0.7608,0.85
0.001,1,0.6057,0.88
6.71E-04,1,0.6456,0.88
5.19E-04,1,0.6313,0.88
0.0024,1,0.5608,0.89
3.21E-04,1,0.6101,0.89
2.21E-04,1,0.686,0.89
0.0022,1,1.0906,0.81
0.001,1,0.6008,0.91
3.69E-04,1,0.412,0.94
8.69E-05,1,0.442,0.92
1.00E-04,1,0.4561,0.94
