Loss,Accuracy,valLoss,valAccuracy
0.7716,0.616,0.8491,0.3
0.5523,0.736,1.2394,0.3
0.4466,0.808,1.8343,0.3
0.4733,0.79,1.9794,0.3
0.3935,0.842,2.4276,0.3
0.2861,0.9,2.4922,0.3
0.2166,0.926,3.1827,0.3
0.1978,0.934,3.6472,0.3
0.2344,0.918,4.2999,0.3
0.177,0.944,3.3057,0.3
0.0938,0.966,3.7817,0.3
0.2096,0.93,2.394,0.3
0.0933,0.976,4.4644,0.3
0.1142,0.958,3.4519,0.3
0.0967,0.976,5.481,0.3
0.2077,0.914,2.9703,0.31
0.1464,0.958,2.4964,0.69
0.2533,0.912,2.7335,0.7
0.0916,0.972,4.4112,0.7
0.0285,0.994,3.477,0.7
0.0213,0.998,4.0975,0.7
0.1664,0.95,9.1214,0.7
0.2325,0.934,1.3123,0.44
0.1242,0.962,0.9075,0.46
0.0738,0.986,0.867,0.7
0.1412,0.962,9.0215,0.7
0.0818,0.964,7.1791,0.7
0.1205,0.97,6.0622,0.7
0.0527,0.988,5.5256,0.7
0.0302,0.992,5.2378,0.7
0.0074,0.998,0.7767,0.72
0.0273,0.99,6.6545,0.3
0.3929,0.85,0.6641,0.74
0.4581,0.758,1.9166,0.69
0.3808,0.816,0.6549,0.81
0.2151,0.91,2.4804,0.73
0.0968,0.978,2.2263,0.74
0.0257,0.998,0.5642,0.88
0.3242,0.824,1.3073,0.61
0.6625,0.616,3.7618,0.3
0.4921,0.764,1.1021,0.7
0.3627,0.852,1.7013,0.7
0.2527,0.914,0.792,0.68
0.3067,0.878,1.592,0.67
0.1561,0.954,1.5905,0.61
0.2394,0.902,1.7945,0.7
0.2567,0.902,1.6375,0.7
0.1182,0.962,1.2315,0.56
0.2263,0.904,0.9212,0.79
0.0986,0.96,1.548,0.53
0.0502,0.988,1.4319,0.6
0.0357,0.99,1.2192,0.7
0.0471,0.976,0.9721,0.57
0.1821,0.928,1.701,0.47
0.0667,0.98,2.2247,0.5
0.032,0.988,1.4628,0.69
0.052,0.986,1.5852,0.66
0.0288,0.99,2.2507,0.57
0.0622,0.978,1.7823,0.56
0.2652,0.922,0.8395,0.63
0.1339,0.95,1.4554,0.71
0.0147,1,1.1994,0.69
0.0524,0.986,1.9424,0.69
0.0461,0.984,1.1941,0.61
0.0479,0.98,1.8843,0.45
0.0576,0.976,0.9,0.77
0.0377,0.99,1.117,0.63
0.0078,0.996,1.4842,0.6
0.0013,1,1.7196,0.64
8.90E-04,1,1.7405,0.65
0.2564,0.928,2.4573,0.32
0.3371,0.87,2.7598,0.49
0.1542,0.948,3.5608,0.63
0.0986,0.968,3.1252,0.59
0.1019,0.962,1.81,0.59
0.0478,0.99,1.1718,0.73
0.0259,0.99,1.2076,0.74
0.007,0.998,1.1451,0.72
0.0671,0.982,1.5203,0.49
0.0363,0.99,0.887,0.81
0.0041,1,0.8719,0.73
0.0011,1,0.6158,0.84
0.0013,1,0.4802,0.86
0.0014,1,1.0793,0.73
3.74E-04,1,1.2092,0.75
0.001,1,1.9243,0.62
2.82E-04,1,1.6133,0.68
1.60E-04,1,1.612,0.68
2.90E-04,1,1.8051,0.63
0.4082,0.874,1.0715,0.4
0.7593,0.536,4.1481,0.3
0.5952,0.678,1.1014,0.49
0.3982,0.84,1.4536,0.7
0.2523,0.9,1.1966,0.58
0.1896,0.928,0.9665,0.69
0.0943,0.964,0.9537,0.7
0.0779,0.966,1.9987,0.71
0.0842,0.97,1.8807,0.73
0.0744,0.968,1.8179,0.7
0.0502,0.988,1.155,0.76
