Loss,Accuracy,valLoss,valAccuracy
1.118,0.69,4.2335,0.7
0.6457,0.72,1.8324,0.52
0.5135,0.796,0.4832,0.85
0.197,0.946,1.5193,0.72
0.2514,0.896,1.1804,0.76
0.2264,0.928,0.7612,0.75
0.2135,0.93,2.4831,0.47
0.1201,0.962,0.6422,0.79
0.0793,0.974,0.6709,0.84
0.0471,0.984,1.3153,0.6
0.2877,0.908,1.7344,0.39
0.226,0.914,0.8986,0.71
0.1453,0.966,1.2519,0.7
0.1253,0.966,1.8487,0.69
0.1155,0.962,0.7242,0.7
0.1201,0.97,1.8618,0.63
0.105,0.96,0.8039,0.64
0.0513,0.986,0.3863,0.85
0.1131,0.962,0.649,0.81
0.1661,0.948,0.6934,0.85
0.0757,0.976,0.7498,0.74
0.0183,0.992,0.6849,0.78
0.0646,0.984,1.118,0.63
0.0289,0.994,1.1392,0.57
0.0742,0.978,1.4015,0.78
0.1064,0.974,18.9291,0.3
0.0568,0.988,0.9453,0.72
0.019,0.992,0.4825,0.83
0.0031,1,0.5417,0.86
0.0042,0.998,0.6648,0.87
0.0042,1,0.6048,0.88
6.08E-04,1,0.6224,0.89
6.37E-04,1,0.7294,0.86
7.34E-04,1,0.8144,0.86
2.31E-04,1,0.7789,0.85
1.19E-04,1,0.8222,0.86
1.49E-04,1,0.8157,0.86
7.27E-05,1,0.8319,0.86
7.96E-05,1,0.8681,0.86
1.66E-04,1,0.8539,0.88
6.53E-05,1,0.866,0.86
3.76E-05,1,0.8933,0.86
1.63E-04,1,0.756,0.89
2.85E-05,1,0.8224,0.88
2.40E-05,1,0.8558,0.88
2.34E-05,1,0.8484,0.88
1.86E-05,1,0.8897,0.88
1.24E-05,1,0.873,0.88
1.08E-05,1,0.8679,0.88
8.39E-06,1,0.8982,0.88
8.13E-06,1,0.8955,0.88
9.44E-06,1,0.8933,0.88
7.78E-06,1,0.9308,0.89
4.05E-06,1,0.947,0.89
3.95E-06,1,0.9527,0.89
4.48E-06,1,0.9649,0.89
5.24E-06,1,0.9538,0.89
2.39E-06,1,0.9665,0.89
2.49E-06,1,0.9348,0.89
0.6086,0.824,1.8441,0.8
0.1449,0.954,0.7228,0.85
0.0732,0.972,0.5079,0.87
0.0501,0.986,0.9832,0.73
0.0283,0.99,1.0901,0.59
0.0071,0.998,0.8672,0.77
0.0033,1,0.6708,0.86
0.1447,0.956,0.9133,0.82
0.1204,0.964,2.3063,0.76
0.0496,0.982,0.5906,0.83
0.077,0.974,4.0399,0.71
0.0851,0.976,0.743,0.77
0.0074,0.996,0.5447,0.88
0.0228,0.994,0.5671,0.89
0.0043,1,0.6546,0.86
0.0017,1,0.6369,0.88
0.1596,0.968,0.4644,0.89
0.0297,0.988,0.8536,0.79
0.0045,1,0.6645,0.87
0.0062,0.998,0.9419,0.86
0.0036,1,0.6435,0.9
0.0851,0.972,1.0681,0.73
0.1319,0.962,2.9754,0.33
0.0171,0.994,0.597,0.82
0.0495,0.984,0.7168,0.78
0.0238,0.996,0.6949,0.88
0.0046,1,0.6492,0.9
0.0015,1,0.6919,0.87
0.0391,0.99,0.988,0.89
0.0044,1,0.7115,0.87
0.0055,0.998,0.6098,0.86
8.35E-04,1,0.6603,0.86
5.31E-04,1,0.6775,0.86
7.84E-04,1,0.6656,0.9
2.92E-04,1,0.6967,0.87
6.73E-04,1,0.717,0.85
1.59E-04,1,0.738,0.85
0.0379,0.988,7.5611,0.71
0.0815,0.982,0.8224,0.89
0.0174,0.994,0.891,0.89
0.0898,0.99,5.9567,0.3
