Loss,Accuracy,valLoss,valAccuracy
1.1171,0.512,0.6885,0.55
0.7408,0.598,0.9591,0.67
0.6562,0.654,0.8691,0.7
0.6766,0.614,0.8729,0.26
0.6302,0.678,19.9041,0.27
0.619,0.7,3.3044,0.75
0.6045,0.704,0.7738,0.64
0.6873,0.604,5.184,0.71
0.5479,0.712,1.9183,0.73
0.6172,0.636,0.9218,0.42
0.6915,0.596,0.6367,0.7
0.6267,0.656,1.9198,0.79
0.5437,0.732,9.6108,0.39
0.6209,0.654,3.1241,0.33
0.6395,0.632,1.0565,0.46
0.5042,0.748,0.9952,0.58
0.3847,0.832,0.8143,0.72
0.3002,0.882,0.8201,0.68
0.2786,0.902,0.4711,0.82
0.2127,0.92,0.8214,0.6
0.1765,0.926,1.1969,0.64
0.2071,0.926,0.6563,0.78
0.2681,0.882,0.6051,0.77
0.2147,0.926,0.7766,0.74
0.1933,0.926,0.7237,0.7
0.1012,0.962,0.9554,0.76
0.0628,0.978,0.7854,0.65
0.3002,0.892,0.8242,0.62
0.1346,0.958,0.9246,0.65
0.1,0.968,1.9623,0.31
0.1086,0.962,1.1674,0.7
0.0883,0.962,0.7681,0.7
0.0898,0.968,2.558,0.42
0.0978,0.958,1.0615,0.67
0.0673,0.98,1.117,0.72
0.0829,0.978,0.7422,0.77
0.0645,0.976,0.6841,0.77
0.1123,0.97,1.401,0.53
0.0601,0.98,1.2168,0.63
0.0836,0.968,1.0169,0.67
0.041,0.982,1.3255,0.62
0.083,0.974,1.0258,0.72
0.1018,0.952,0.9323,0.67
0.0438,0.99,1.0133,0.72
0.164,0.946,0.5543,0.81
0.0781,0.984,1.0523,0.75
0.052,0.98,1.307,0.63
0.0297,0.992,0.8891,0.71
0.0108,0.998,1.1229,0.69
0.1166,0.964,0.7453,0.79
0.07,0.97,5.7674,0.34
0.0412,0.986,1.0509,0.64
0.0138,0.994,1.5576,0.62
0.0173,0.996,1.148,0.67
0.0097,0.996,1.1538,0.77
0.006,0.998,0.9924,0.79
0.1186,0.964,4.0039,0.59
0.1236,0.96,3.0916,0.41
0.0901,0.974,1.0349,0.72
0.0913,0.97,1.0275,0.7
0.0544,0.988,1.1953,0.66
0.0147,0.996,1.0271,0.74
0.0094,0.998,4.5013,0.37
0.0375,0.984,0.7674,0.78
0.0185,0.988,1.5098,0.7
0.0389,0.99,1.1862,0.71
0.0497,0.976,3.9546,0.47
0.0194,0.992,1.3934,0.67
0.0135,0.994,1.0371,0.74
0.02,0.996,1.3352,0.69
0.0041,0.998,1.1342,0.74
0.0016,1,1.2334,0.75
0.0038,0.998,1.7792,0.73
0.0111,0.996,1.3418,0.67
0.1379,0.972,5.032,0.3
0.014,0.996,1.1494,0.78
0.0082,0.998,1.2466,0.77
0.0316,0.986,1.112,0.74
0.0097,0.996,1.3123,0.72
0.0021,1,1.4571,0.74
6.90E-04,1,1.6009,0.73
0.0012,1,1.8682,0.77
9.89E-04,1,1.5413,0.78
2.49E-04,1,1.5637,0.77
0.0458,0.99,3.9764,0.43
0.2216,0.926,1.629,0.5
0.0497,0.982,1.3045,0.61
0.0256,0.99,1.6795,0.53
0.0237,0.988,1.5341,0.66
0.0314,0.99,1.0528,0.73
0.005,0.998,1.4613,0.73
0.0015,1,1.5625,0.73
0.001,1,1.5681,0.73
0.0559,0.988,1.2592,0.71
0.0306,0.99,1.2148,0.73
0.0026,1,1.6864,0.66
9.81E-04,1,1.6487,0.69
0.0737,0.976,3.6518,0.53
0.0761,0.982,0.9274,0.73
0.0629,0.984,1.4787,0.65
