Loss,Accuracy,valLoss,valAccuracy
1.2164,0.4865,4.4632,0.5161
0.7453,0.6284,0.8487,0.5161
0.7293,0.5811,0.6929,0.5323
0.6852,0.6419,0.8541,0.5161
0.6279,0.6689,0.7511,0.5161
0.7163,0.6081,1.0223,0.5161
0.719,0.5878,3.2069,0.5323
0.7185,0.5135,0.7433,0.5645
0.6532,0.6081,0.8611,0.5161
0.6009,0.6486,0.9621,0.4516
0.6278,0.6554,1.1112,0.5323
0.5654,0.7297,1.365,0.4516
0.6725,0.6757,3.3172,0.4839
0.7811,0.6351,1.3092,0.6452
0.6377,0.6824,1.1334,0.5323
0.6361,0.6689,1.547,0.5161
0.5608,0.723,1.781,0.4839
0.5592,0.7297,1.4062,0.5323
0.5331,0.7432,2.0621,0.4194
0.6627,0.6419,1.8246,0.3548
0.6538,0.6149,1.3898,0.5323
0.6781,0.6419,1.9109,0.5161
0.5769,0.7095,1.2634,0.5484
0.5521,0.723,1.2228,0.5161
0.5172,0.7432,0.8892,0.5968
0.4863,0.7703,1.636,0.4516
0.5938,0.7162,2.1099,0.4355
0.5093,0.777,1.4278,0.5323
0.4596,0.777,1.3118,0.5161
0.4066,0.7905,1.6574,0.629
0.4666,0.7973,3.3565,0.4194
0.6234,0.6824,1.6994,0.5
0.4516,0.7568,1.2885,0.5645
0.3868,0.8446,1.118,0.5645
0.4161,0.7905,2.6099,0.5
0.7193,0.6486,4.0241,0.5161
0.5322,0.7905,1.3328,0.5968
0.5316,0.7635,1.6842,0.5161
0.6795,0.6216,1.5099,0.5161
0.5153,0.7365,0.8066,0.629
0.4373,0.7838,1.8292,0.5161
0.4599,0.7973,1.1903,0.4516
0.6105,0.6959,2.264,0.5161
0.4976,0.7432,1.8771,0.5161
0.3881,0.8446,3.0136,0.5645
0.4828,0.7905,2.7753,0.5161
0.3024,0.8716,1.6974,0.5484
0.4183,0.7973,1.6013,0.5645
0.347,0.8243,1.4348,0.5
0.3079,0.8784,1.4961,0.5484
0.2052,0.9122,1.9451,0.5484
0.2733,0.8919,1.8279,0.5323
0.2334,0.9257,1.5712,0.5968
0.2854,0.8851,1.5611,0.6452
0.456,0.8108,1.92,0.5806
0.2096,0.9122,2.0777,0.5968
0.2399,0.9122,1.8952,0.5323
0.1371,0.9662,1.4778,0.4839
0.2721,0.9054,1.5959,0.4839
0.2689,0.8919,1.9052,0.5484
0.2998,0.8514,1.5948,0.5645
0.2087,0.9122,2.0481,0.5484
0.2301,0.9189,1.4501,0.5323
0.2525,0.8784,1.6707,0.5645
0.1454,0.9324,2.0125,0.5323
0.2261,0.9054,2.0599,0.5323
0.2658,0.8919,2.0239,0.5161
0.2054,0.9324,1.41,0.5806
0.2968,0.9122,1.1968,0.5323
0.2026,0.9189,2.1836,0.4677
0.1164,0.9595,1.5561,0.6129
0.1166,0.9527,2.1407,0.629
0.1381,0.9527,1.4374,0.6452
0.1903,0.9122,1.6256,0.5484
0.1964,0.9054,2.0205,0.5484
0.1641,0.9324,1.5154,0.5806
0.1805,0.9189,1.7932,0.5484
0.1494,0.9459,2.728,0.5161
0.0897,0.9595,2.0375,0.5484
0.0818,0.9797,1.9691,0.5484
0.0196,1,1.8598,0.5645
0.017,1,1.9466,0.5806
0.0707,0.9662,2.6968,0.5645
0.1331,0.9392,1.6013,0.5968
0.4178,0.8581,1.2554,0.5806
0.2278,0.9189,1.7025,0.5645
0.0864,0.9662,1.2817,0.5806
0.1025,0.9595,1.6941,0.5645
0.0375,0.9865,2.4326,0.5968
0.0455,0.9865,1.9492,0.5645
0.0137,1,2.3136,0.5484
0.0057,1,2.3685,0.5645
0.0048,1,2.4422,0.5484
0.0027,1,2.4816,0.5323
0.0024,1,2.532,0.5645
0.0015,1,2.5099,0.5645
0.0016,1,2.5051,0.5645
8.87E-04,1,2.5109,0.5645
0.002,1,2.5399,0.5645
6.97E-04,1,2.5822,0.5645
