Loss,Accuracy,valLoss,valAccuracy
0.8881,0.5878,1.0549,0.4839
0.8085,0.5338,0.8919,0.4839
0.7609,0.5946,0.9969,0.5161
0.7723,0.4932,0.8641,0.4839
0.7331,0.5068,94.3345,0.4839
0.7195,0.5878,1.0409,0.4677
0.7437,0.5,1.0493,0.4032
0.7164,0.4865,0.8043,0.5
0.7199,0.527,0.9968,0.4355
0.6807,0.5541,1.2018,0.5161
0.6413,0.6284,1.824,0.4355
0.6366,0.6419,0.9055,0.5323
0.6305,0.6757,3.5138,0.5
0.6449,0.6757,1.0234,0.5323
0.611,0.6419,1.6645,0.4839
0.7702,0.6081,1.2858,0.3871
0.6585,0.5946,3.9181,0.5
0.7533,0.5608,1.1566,0.5161
0.7324,0.5878,0.9305,0.4839
0.6263,0.6757,1.0142,0.5
0.5666,0.723,1.0456,0.5323
0.5408,0.7635,1.0787,0.5
0.5543,0.7568,1.2562,0.371
0.7334,0.6419,0.8854,0.5323
0.5863,0.7703,0.9675,0.5161
0.509,0.8041,1.0499,0.5161
0.4736,0.7838,1.5233,0.4839
0.5036,0.75,1.4662,0.5161
0.4848,0.8041,1.0967,0.5
0.4918,0.7432,1.579,0.5
0.46,0.7838,1.0787,0.5645
0.3816,0.8581,1.582,0.5323
0.3695,0.8514,1.9903,0.5484
0.3439,0.8514,2.0544,0.5323
0.3199,0.8446,1.8365,0.4194
0.3556,0.8716,1.4508,0.4032
0.2628,0.8851,1.697,0.5806
0.1951,0.9189,2.2573,0.5161
0.1073,0.9595,1.004,0.5323
0.2295,0.9054,1.437,0.6129
0.1407,0.9527,1.5798,0.4516
0.1938,0.9257,1.5811,0.4355
0.1093,0.9595,1.6623,0.5
0.1741,0.9189,2.0774,0.5645
0.2314,0.9122,1.6753,0.5806
0.1018,0.973,2.7433,0.5323
0.0952,0.9662,2.3469,0.5
0.1267,0.9797,2.735,0.5645
0.2007,0.9122,2.417,0.5
0.1098,0.9527,2.3819,0.5323
0.0283,0.9932,2.3903,0.5
0.0435,0.9865,2.9298,0.5323
0.0515,0.9797,2.3357,0.4032
0.0459,0.9865,2.5591,0.4839
0.1077,0.973,3.1449,0.5806
0.0391,0.9865,2.918,0.5323
0.0426,0.9865,2.4221,0.5645
0.0101,1,2.5826,0.5484
0.0064,1,3.0714,0.5484
0.0026,1,3.1915,0.5323
0.0025,1,3.4361,0.5484
0.1124,0.9392,4.7998,0.5323
0.3403,0.8919,1.6372,0.4516
0.1243,0.973,1.7538,0.5323
0.0703,0.9797,2.1611,0.5161
0.1521,0.9392,2.9529,0.4839
0.1514,0.9392,2.1583,0.5968
0.0501,0.9797,2.1548,0.5968
0.0393,0.9932,2.566,0.5645
0.0399,0.9865,2.8933,0.5484
0.0074,1,3.2247,0.5645
0.0198,0.9932,2.3355,0.5645
0.005,1,2.4486,0.5
0.2656,0.9324,4.4602,0.5323
0.0738,0.973,3.0918,0.5645
0.025,0.9932,2.6404,0.5323
0.0097,1,2.9231,0.5323
0.0059,1,2.8359,0.5323
0.1414,0.9527,2.7375,0.4677
0.069,0.973,2.492,0.5323
0.0286,0.9932,2.2088,0.4677
0.035,0.9932,2.4661,0.5
0.1439,0.973,1.9541,0.4839
0.089,0.9595,2.5363,0.5323
0.0306,0.9932,2.4669,0.5484
0.0362,0.9932,2.949,0.5161
0.0033,1,3.0739,0.5161
0.0026,1,3.1898,0.5161
0.0025,1,3.2069,0.5
0.0016,1,3.2075,0.4839
0.0015,1,3.4743,0.5161
0.0012,1,3.4673,0.5
9.53E-04,1,3.5646,0.5161
4.87E-04,1,3.6946,0.5161
6.89E-04,1,3.619,0.5
5.29E-04,1,3.6646,0.5
0.0884,0.9595,1.6837,0.4355
0.0376,0.9932,2.9941,0.5323
0.0662,0.9797,3.3442,0.5484
0.0037,1,3.3734,0.5484
