Loss,Accuracy,valLoss,valAccuracy
0.9572,0.5946,0.6926,0.5161
0.8439,0.5338,0.703,0.5161
0.8061,0.6014,0.7,0.5161
0.6925,0.6081,0.732,0.5161
0.7766,0.5743,0.7366,0.5161
0.7224,0.5338,0.9961,0.5161
0.6235,0.6757,0.7793,0.4839
0.6045,0.7095,0.9749,0.5
0.804,0.6081,8.3047,0.5484
0.7306,0.5676,1.3456,0.4516
0.6085,0.6959,3.39,0.4194
0.5125,0.7568,1.4445,0.4194
0.5682,0.7027,1.7638,0.5
0.5425,0.723,0.9221,0.6129
0.5128,0.7432,1.5282,0.5
0.431,0.8243,1.2415,0.5323
0.4233,0.7973,1.3265,0.4677
0.3549,0.8649,3.2152,0.4032
0.3973,0.8243,1.5157,0.5
0.2704,0.8851,1.2398,0.5
0.2855,0.8649,1.7703,0.3871
0.2331,0.8986,1.9304,0.4839
0.1448,0.9595,3.1547,0.5
0.3061,0.9122,1.9391,0.4516
0.1226,0.973,1.751,0.5
0.15,0.9527,2.1328,0.4677
0.0964,0.973,1.9712,0.5968
0.1531,0.9459,3.3508,0.5161
0.1395,0.9662,1.9918,0.5161
0.0592,0.9865,2.0451,0.5
0.0274,1,1.6896,0.5161
0.0249,0.9932,1.9674,0.4194
0.0882,0.9662,3.6062,0.4516
0.2082,0.9054,1.8051,0.6129
0.121,0.9595,1.9534,0.5161
0.1835,0.9324,2.8572,0.4355
0.1642,0.9527,2.2341,0.4194
0.1755,0.9392,2.8677,0.5161
0.0536,0.9797,2.1533,0.4677
0.0441,0.9865,2.4154,0.5
0.0133,1,2.2151,0.4516
0.0046,1,2.1278,0.4516
0.0069,1,2.0095,0.4516
0.004,1,2.1408,0.4677
0.0016,1,2.1988,0.4516
0.0012,1,2.2447,0.4516
0.0011,1,2.2221,0.4677
0.0012,1,2.2839,0.4839
0.0011,1,2.393,0.4839
0.0013,1,2.3601,0.4839
0.0012,1,2.3899,0.4677
7.86E-04,1,2.4187,0.4839
7.16E-04,1,2.4717,0.4839
6.25E-04,1,2.5233,0.4839
6.63E-04,1,2.532,0.4839
6.58E-04,1,2.5166,0.4839
4.68E-04,1,2.4985,0.4839
7.01E-04,1,2.6595,0.4516
4.64E-04,1,2.5824,0.4677
5.75E-04,1,2.583,0.4839
3.62E-04,1,2.5728,0.4677
3.56E-04,1,2.5787,0.4677
4.46E-04,1,2.6413,0.5
2.76E-04,1,2.6485,0.5
6.22E-04,1,2.6053,0.4355
3.78E-04,1,2.6138,0.4839
3.12E-04,1,2.6038,0.4677
2.44E-04,1,2.6012,0.4677
3.52E-04,1,2.7423,0.4839
2.81E-04,1,2.7322,0.4839
4.23E-04,1,2.7496,0.4839
2.68E-04,1,2.7528,0.4677
2.28E-04,1,2.7472,0.4677
2.63E-04,1,2.7565,0.4516
1.69E-04,1,2.766,0.4516
2.19E-04,1,2.7394,0.4677
2.38E-04,1,2.8091,0.4839
2.87E-04,1,2.7319,0.4677
1.73E-04,1,2.7994,0.5
1.47E-04,1,2.7944,0.5
1.69E-04,1,2.7781,0.5
1.25E-04,1,2.8668,0.4839
1.18E-04,1,2.856,0.5
1.71E-04,1,2.8371,0.5
1.42E-04,1,2.8873,0.5
1.44E-04,1,2.8722,0.5
1.51E-04,1,2.8945,0.4839
1.67E-04,1,2.8727,0.4839
1.21E-04,1,2.9345,0.4839
1.03E-04,1,2.914,0.4839
8.62E-05,1,2.9136,0.4839
9.93E-05,1,2.8984,0.4839
8.92E-05,1,2.9378,0.4839
8.63E-05,1,2.9358,0.5
6.37E-05,1,2.9469,0.5
8.43E-05,1,2.9975,0.5
6.30E-05,1,3.0226,0.4839
6.74E-05,1,3.0159,0.4839
8.35E-05,1,3.0029,0.5161
7.44E-05,1,2.9918,0.4839
