Loss,Accuracy,valLoss,valAccuracy
1.0217,0.527,0.6927,0.5161
0.7228,0.5878,0.694,0.5161
0.7089,0.6554,0.7181,0.5161
0.6369,0.723,0.9262,0.5161
0.5603,0.7095,0.948,0.5161
0.32,0.8514,1.3042,0.5161
0.4874,0.777,0.9758,0.5161
0.4652,0.7838,0.9452,0.5161
0.2526,0.8851,0.9229,0.5161
0.3347,0.8581,0.8674,0.5161
0.4637,0.8311,0.9078,0.5161
0.5403,0.7365,0.8101,0.5161
0.2613,0.8851,0.7081,0.5161
0.1393,0.9595,0.7366,0.5161
0.1056,0.9662,0.7286,0.5161
0.1539,0.9189,0.7764,0.5161
0.1414,0.9527,0.786,0.5161
0.2111,0.9324,0.8685,0.5161
0.2095,0.9189,0.8775,0.5161
0.3627,0.8716,1.1435,0.5161
0.3612,0.8176,0.962,0.5161
0.2953,0.8514,1.03,0.5161
0.2899,0.8919,1.44,0.5161
0.1808,0.9459,1.3478,0.5161
0.0493,0.9865,1.3229,0.5161
0.0209,1,1.4069,0.5161
0.0119,1,1.4517,0.5161
0.0052,1,1.4829,0.5161
0.0036,1,1.4887,0.5161
0.0029,1,1.4717,0.5161
0.0022,1,1.4637,0.5161
0.0015,1,1.4721,0.5161
0.0015,1,1.4796,0.5161
0.0012,1,1.4816,0.5161
0.0018,1,1.4441,0.5161
0.0012,1,1.4627,0.5161
7.90E-04,1,1.4818,0.5161
8.65E-04,1,1.4953,0.5161
8.88E-04,1,1.5139,0.5161
6.42E-04,1,1.5247,0.5161
7.01E-04,1,1.5244,0.5161
6.29E-04,1,1.5329,0.5161
5.71E-04,1,1.544,0.5161
6.05E-04,1,1.5615,0.5161
4.79E-04,1,1.5645,0.5161
3.97E-04,1,1.5786,0.5161
5.18E-04,1,1.5793,0.5161
5.16E-04,1,1.5861,0.5161
4.72E-04,1,1.5706,0.5161
3.59E-04,1,1.5827,0.5161
5.96E-04,1,1.5953,0.5161
3.47E-04,1,1.6041,0.5161
2.67E-04,1,1.6101,0.5161
3.71E-04,1,1.641,0.5161
2.61E-04,1,1.6597,0.5161
2.51E-04,1,1.6809,0.5161
2.48E-04,1,1.7001,0.5161
2.43E-04,1,1.7325,0.5161
2.14E-04,1,1.7636,0.5161
2.02E-04,1,1.7936,0.5161
1.48E-04,1,1.8298,0.5161
1.84E-04,1,1.8589,0.5161
1.47E-04,1,1.8957,0.5161
1.69E-04,1,1.9341,0.5161
1.39E-04,1,1.9795,0.5161
1.11E-04,1,2.0215,0.5161
1.04E-04,1,2.0621,0.5161
1.83E-04,1,2.1045,0.5161
1.71E-04,1,2.1224,0.5161
1.32E-04,1,2.16,0.5161
9.90E-05,1,2.1894,0.5161
1.14E-04,1,2.2282,0.5161
9.75E-05,1,2.2503,0.5161
9.75E-05,1,2.2706,0.5161
1.15E-04,1,2.296,0.5161
1.02E-04,1,2.3215,0.5161
7.38E-05,1,2.3371,0.5161
6.58E-05,1,2.3482,0.5161
9.49E-05,1,2.363,0.5161
5.01E-05,1,2.3656,0.5161
1.51E-04,1,2.3518,0.5161
6.98E-05,1,2.362,0.5161
6.67E-05,1,2.3484,0.5161
7.64E-05,1,2.33,0.5161
6.91E-05,1,2.315,0.5161
6.36E-05,1,2.3069,0.5161
4.64E-05,1,2.2775,0.5161
5.62E-05,1,2.2997,0.5161
4.86E-05,1,2.2707,0.5
4.01E-05,1,2.2339,0.5161
5.75E-05,1,2.2371,0.5161
3.51E-05,1,2.2283,0.5161
5.54E-05,1,2.2256,0.5161
4.47E-05,1,2.2181,0.5323
3.25E-05,1,2.2173,0.5484
3.05E-05,1,2.209,0.5323
3.99E-05,1,2.2107,0.5323
4.43E-05,1,2.2088,0.5323
3.38E-05,1,2.2045,0.5
3.65E-05,1,2.2201,0.5
