Loss,Accuracy,valLoss,valAccuracy
1.8853,0.5449,1.6523,0.4839
1.8853,0.5449,1.6523,0.484
1.8853,0.5449,1.6523,0.4841
1.8853,0.5449,1.6523,0.4842
1.8853,0.5449,1.6523,0.4843
1.8853,0.5449,1.6523,0.4844
1.8853,0.5449,1.6523,0.4845
1.8853,0.5449,1.6523,0.4846
1.8853,0.5449,1.6523,0.4847
1.8853,0.5449,1.6523,0.4848
1.8853,0.5449,1.6523,0.4849
1.8853,0.5449,1.6523,0.485
1.8853,0.5449,1.6523,0.4851
1.8853,0.5449,1.6523,0.4852
1.8853,0.5449,1.6523,0.4853
1.8853,0.5449,1.6523,0.4854
1.8853,0.5449,1.6523,0.4855
1.8853,0.5449,1.6523,0.4856
1.8853,0.5449,1.6523,0.4857
1.8853,0.5449,1.6523,0.4858
1.8853,0.5449,1.6523,0.4859
1.8853,0.5449,1.6523,0.486
1.8853,0.5449,1.6523,0.4861
1.8853,0.5449,1.6523,0.4862
1.8853,0.5449,1.6523,0.4863
1.8853,0.5449,1.6523,0.4864
1.8853,0.5449,1.6523,0.4865
1.8853,0.5449,1.6523,0.4866
1.8853,0.5449,1.6523,0.4867
1.8853,0.5449,1.6523,0.4868
1.8853,0.5449,1.6523,0.4869
1.8853,0.5449,1.6523,0.487
1.8853,0.5449,1.6523,0.4871
1.8853,0.5449,1.6523,0.4872
1.8853,0.5449,1.6523,0.4873
1.8853,0.5449,1.6523,0.4874
1.8853,0.5449,1.6523,0.4875
1.8853,0.5449,1.6523,0.4876
1.8853,0.5449,1.6523,0.4877
1.8853,0.5449,1.6523,0.4878
1.8853,0.5449,1.6523,0.4879
1.8853,0.5449,1.6523,0.488
1.8853,0.5449,1.6523,0.4881
1.8853,0.5449,1.6523,0.4882
1.8853,0.5449,1.6523,0.4883
1.8853,0.5449,1.6523,0.4884
1.8853,0.5449,1.6523,0.4885
1.8853,0.5449,1.6523,0.4886
1.8853,0.5449,1.6523,0.4887
1.8853,0.5449,1.6523,0.4888
1.8853,0.5449,1.6523,0.4889
1.8853,0.5449,1.6523,0.489
1.8853,0.5449,1.6523,0.4891
1.8853,0.5449,1.6523,0.4892
1.8853,0.5449,1.6523,0.4893
1.8853,0.5449,1.6523,0.4894
1.8853,0.5449,1.6523,0.4895
1.8853,0.5449,1.6523,0.4896
1.8853,0.5449,1.6523,0.4897
1.8853,0.5449,1.6523,0.4898
1.8853,0.5449,1.6523,0.4899
1.8853,0.5449,1.6523,0.49
1.8853,0.5449,1.6523,0.4901
1.8853,0.5449,1.6523,0.4902
1.8853,0.5449,1.6523,0.4903
1.8853,0.5449,1.6523,0.4904
1.8853,0.5449,1.6523,0.4905
1.8853,0.5449,1.6523,0.4906
1.8853,0.5449,1.6523,0.4907
1.8853,0.5449,1.6523,0.4908
1.8853,0.5449,1.6523,0.4909
1.8853,0.5449,1.6523,0.491
1.8853,0.5449,1.6523,0.4911
1.8853,0.5449,1.6523,0.4912
1.8853,0.5449,1.6523,0.4913
1.8853,0.5449,1.6523,0.4914
1.8853,0.5449,1.6523,0.4915
1.8853,0.5449,1.6523,0.4916
1.8853,0.5449,1.6523,0.4917
1.8853,0.5449,1.6523,0.4918
1.8853,0.5449,1.6523,0.4919
1.8853,0.5449,1.6523,0.492
1.8853,0.5449,1.6523,0.4921
1.8853,0.5449,1.6523,0.4922
1.8853,0.5449,1.6523,0.4923
1.8853,0.5449,1.6523,0.4924
1.8853,0.5449,1.6523,0.4925
1.8853,0.5449,1.6523,0.4926
1.8853,0.5449,1.6523,0.4927
1.8853,0.5449,1.6523,0.4928
1.8853,0.5449,1.6523,0.4929
1.8853,0.5449,1.6523,0.493
1.8853,0.5449,1.6523,0.4931
1.8853,0.5449,1.6523,0.4932
1.8853,0.5449,1.6523,0.4933
1.8853,0.5449,1.6523,0.4934
1.8853,0.5449,1.6523,0.4935
1.8853,0.5449,1.6523,0.4936
1.8853,0.5449,1.6523,0.4937
1.8853,0.5449,1.6523,0.4938
