Time,Loss,Accuracy,valLoss,valAccuracy
147,0.8309,0.7717,2.1547,0.48
16,0.0344,0.99,2.8506,0.54
16,0.0566,0.9817,0.841,0.76
16,0.0012,1,0.6068,0.8
16,0.00054097,1,0.4802,0.865
16,0.00033251,1,0.4144,0.885
16,0.00015492,1,0.4433,0.905
16,0.00011818,1,0.4209,0.905
16,0.00010513,1,0.384,0.895
16,0.000058711,1,0.3984,0.92
16,0.000038744,1,0.4111,0.92
16,0.000036205,1,0.4175,0.925
16,0.000031558,1,0.3653,0.93
16,0.000016474,1,0.368,0.91
16,0.00002284,1,0.4044,0.88
16,0.000014891,1,0.3919,0.9
16,0.000013912,1,0.4044,0.895
16,0.00000893,1,0.3856,0.91
16,9.4893E-06,1,0.4037,0.915
16,5.8275E-06,1,0.4159,0.91
16,5.6866E-06,1,0.4027,0.915
16,0.000004376,1,0.385,0.92
16,2.4092E-06,1,0.3936,0.92
16,0.000002587,1,0.411,0.91
16,2.7873E-06,1,0.4387,0.91
16,2.0617E-06,1,0.4241,0.915
16,2.5824E-06,1,0.4552,0.91
16,1.5757E-06,1,0.4422,0.91
16,1.4883E-06,1,0.4479,0.91
16,0.000001082,1,0.4447,0.905
16,1.0327E-06,1,0.4039,0.92
16,6.8048E-07,1,0.4252,0.91
16,6.2644E-07,1,0.4224,0.91
16,5.0247E-07,1,0.4229,0.91
16,4.8637E-07,1,0.4077,0.915
16,3.6736E-07,1,0.4289,0.91
16,3.3279E-07,1,0.3806,0.92
16,7.4782E-07,1,0.3025,0.95
16,2.8034E-07,1,0.3245,0.945
16,2.3742E-07,1,0.343,0.94
16,1.6153E-07,1,0.3469,0.93
16,2.2332E-07,1,0.5247,0.89
16,1.6053E-07,1,0.445,0.905
15,8.2254E-08,1,0.434,0.905
16,6.9737E-08,1,0.3899,0.915
16,7.1923E-08,1,0.4663,0.895
16,1.1802E-07,1,0.488,0.895
16,6.2386E-08,1,0.4872,0.895
16,3.318E-08,1,0.5955,0.875
16,2.7617E-08,1,0.5795,0.89
16,2.8809E-08,1,0.5145,0.905
16,2.9405E-08,1,0.4507,0.915
16,1.5895E-08,1,0.4585,0.91
16,1.6292E-08,1,0.4533,0.905
16,1.0729E-08,1,0.4656,0.905
16,1.2716E-08,1,0.6376,0.88
16,7.5499E-09,1,0.5565,0.88
16,7.5499E-09,1,0.5995,0.885
16,4.5697E-09,1,0.6739,0.88
16,5.7618E-09,1,0.5708,0.895
15,6.3578E-09,1,0.4695,0.915
16,4.1723E-09,1,0.6451,0.885
16,3.1789E-09,1,0.4469,0.915
16,3.5763E-09,1,0.5258,0.9
16,3.775E-09,1,0.4007,0.93
16,3.775E-09,1,0.4361,0.915
16,1.1921E-09,1,0.4693,0.91
16,1.9868E-10,1,0.4533,0.915
16,2.7815E-09,1,0.5586,0.9
16,1.1921E-09,1,0.5501,0.905
15,1.9868E-09,1,0.5119,0.91
16,7.9473E-10,1,0.5089,0.91
16,0,1,0.6352,0.89
16,3.9736E-10,1,0.7192,0.875
16,3.9736E-10,1,0.6293,0.89
16,3.9736E-10,1,0.5584,0.905
16,1.9868E-10,1,0.6111,0.895
16,0,1,0.6256,0.895
16,5.9605E-10,1,0.6052,0.895
16,7.9473E-10,1,0.469,0.925
16,0,1,0.5926,0.91
16,1.9868E-10,1,0.6796,0.88
16,0,1,0.6823,0.88
15,1.9868E-10,1,0.6653,0.885
15,0,1,0.7476,0.87
15,0,1,0.6442,0.895
16,0,1,0.8063,0.875
15,0,1,0.7094,0.89
16,0,1,0.6817,0.89
15,0,1,0.9424,0.875
15,0,1,0.7591,0.885
15,1.9868E-10,1,0.9595,0.865
16,7.9473E-10,1,0.4732,0.93
16,3.9736E-10,1,0.6167,0.875
16,1.9868E-10,1,0.6651,0.895
16,1.9868E-10,1,0.7163,0.885
16,0,1,0.4598,0.94
16,0,1,0.5135,0.91
16,0,1,0.3926,0.96
16,0,1,0.4558,0.92
