Time,Loss,Accuracy,valLoss,valAccuracy
19,0.7558,0.6556,0.7626,0.5
13,0.5159,0.7583,1.3943,0.5
13,0.3425,0.8639,0.1945,0.92
13,0.2038,0.9306,0.6729,0.8533
13,0.1266,0.9611,0.3642,0.9333
13,0.153,0.9528,0.8031,0.7267
13,0.1134,0.9556,0.5855,0.9333
13,0.0494,0.9861,0.8225,0.9267
13,0.1383,0.9444,0.2818,0.92
13,0.079,0.9667,0.5223,0.82
13,0.1694,0.9528,3.505,0.5
13,0.0167,0.9972,0.1775,0.9533
13,0.0037,1,0.2254,0.9533
13,0.0037,1,0.2595,0.9533
13,0.0015,1,0.3242,0.94
13,0.0766,0.9611,0.4283,0.86
13,0.0398,0.9889,0.148,0.96
13,0.0043,1,0.132,0.96
13,0.001,1,0.0721,0.9667
13,0.00057646,1,0.0749,0.9667
13,0.00084863,1,0.0829,0.9667
13,0.00050949,1,0.0986,0.9667
13,0.0027,1,0.041,0.98
13,0.5111,0.8444,6.0491,0.5467
13,0.1506,0.9417,0.1898,0.94
13,0.0398,0.9861,0.7501,0.7
13,0.1027,0.9556,0.0559,0.98
13,0.0037,1,0.0835,0.98
13,0.0388,0.9889,0.106,0.9733
13,0.0286,0.9889,0.048,0.98
13,0.0045,1,0.0328,0.9867
13,0.0024,1,0.0457,0.98
13,0.00046366,1,0.0424,0.9867
13,0.00096419,1,0.0413,0.9867
13,0.00059078,1,0.049,0.9867
13,0.00024788,1,0.0612,0.98
13,0.00027318,1,0.062,0.98
13,0.00021565,1,0.0626,0.98
13,0.00016899,1,0.0641,0.98
13,0.00014541,1,0.0649,0.98
13,0.00016969,1,0.0671,0.98
13,0.000098921,1,0.0691,0.98
13,0.00015235,1,0.076,0.98
13,0.00015238,1,0.0776,0.98
13,0.0734,0.9778,6.8071,0.5
13,0.3166,0.9167,1.1544,0.6133
13,0.0998,0.9694,0.3848,0.8467
13,0.0101,1,0.102,0.9467
13,0.0025,1,0.0693,0.9667
13,0.0017,1,0.083,0.98
13,0.0019,1,0.1127,0.9533
13,0.0015,1,0.11,0.96
13,0.0013,1,0.0959,0.96
13,0.00034479,1,0.088,0.9667
13,0.00021079,1,0.0913,0.96
13,0.00022338,1,0.0944,0.96
13,0.00017009,1,0.0942,0.9667
13,0.00013945,1,0.0966,0.96
13,0.00013449,1,0.094,0.9667
13,0.00013503,1,0.0919,0.9667
13,0.0001686,1,0.0868,0.9667
13,0.0001125,1,0.0899,0.9667
13,0.00030313,1,0.0906,0.96
13,0.00026925,1,0.0993,0.96
13,0.00010604,1,0.0956,0.9667
13,0.000079782,1,0.0974,0.9667
13,0.00016667,1,0.1401,0.96
13,0.2165,0.9528,25.4202,0.5
13,0.0861,0.975,0.0726,0.9733
14,0.0025,1,0.0818,0.9733
13,0.0034,0.9972,0.0665,0.9733
13,0.0407,0.9833,0.0203,0.9867
13,0.1615,0.9722,1.1626,0.8933
13,0.0418,0.9806,0.1913,0.9533
13,0.0019,1,0.2444,0.9533
13,0.0576,0.9778,0.0893,0.9533
13,0.032,0.9861,0.2862,0.9333
13,0.00070717,1,0.1379,0.9733
13,0.00048671,1,0.1245,0.98
13,0.0379,0.9889,0.1551,0.9667
13,0.0342,0.9917,0.0558,0.98
13,0.0018,1,0.0432,0.9867
13,0.00040658,1,0.0388,0.9867
13,0.0015,1,0.0584,0.9867
13,0.00032898,1,0.0446,0.9867
13,0.00018818,1,0.0344,0.9867
13,0.00014033,1,0.0399,0.9867
13,0.00015147,1,0.0338,0.9867
13,0.00023586,1,0.0323,0.9867
13,0.00013967,1,0.0341,0.9867
13,0.00011804,1,0.0386,0.9867
13,0.00011737,1,0.0406,0.9867
13,0.0001351,1,0.0374,0.9867
13,0.000059063,1,0.0331,0.9867
13,0.000062227,1,0.0357,0.9867
13,0.00010422,1,0.0411,0.9867
13,0.00006591,1,0.0418,0.9867
13,0.000060466,1,0.0402,0.9867
13,0.000043325,1,0.043,0.9867
13,0.000047832,1,0.0379,0.9867
