Time,Loss,Accuracy,valLoss,valAccuracy
24,0.7671,0.79,3.0613,0.415
17,0.0418,0.985,5.2973,0.495
17,0.1582,0.9533,13.8888,0.5
17,0.0678,0.98,8.4804,0.475
17,0.0046,1,11.077,0.5
17,0.00090365,1,10.8534,0.5
17,0.00035185,1,10.8185,0.495
17,0.00036901,1,11.1156,0.495
17,0.00029282,1,11.1609,0.495
17,0.00013209,1,11.3089,0.495
17,0.2204,0.9583,66.0945,0.5
17,0.189,0.9417,5.0155,0.55
17,0.0045,0.9983,7.6084,0.525
17,0.00042351,1,7.8472,0.53
17,0.00047281,1,7.7953,0.52
17,0.00019828,1,8.293,0.53
17,0.00016527,1,8.2968,0.525
18,0.00014658,1,8.71,0.53
17,0.000084952,1,8.8351,0.53
17,0.000062937,1,8.9694,0.53
17,0.000078871,1,9.3181,0.53
17,0.00005701,1,9.3543,0.53
17,0.000064582,1,9.5453,0.53
17,0.000044752,1,9.6053,0.53
17,0.000031157,1,9.5302,0.53
17,0.000033785,1,9.7181,0.535
17,0.000030058,1,9.9481,0.535
17,1.3747,0.6367,6.6538,0.5
17,0.3168,0.8567,7.4202,0.495
17,0.079,0.985,9.6343,0.5
17,0.0153,0.9983,6.8148,0.51
17,0.0076,1,4.7998,0.54
17,0.0024,1,6.0741,0.55
16,0.00081373,1,5.9433,0.555
17,0.00050583,1,6.4056,0.55
17,0.00068587,1,6.4058,0.55
17,0.00051171,1,6.7724,0.555
17,0.00028026,1,7.2,0.54
17,0.00017994,1,7.1255,0.54
17,0.00014252,1,7.3642,0.54
17,0.00010192,1,7.997,0.54
17,0.000095629,1,7.9019,0.54
17,0.000080758,1,8.4449,0.54
17,0.000056628,1,8.3292,0.54
17,0.000037161,1,9.146,0.54
17,0.000039732,1,9.1646,0.54
17,0.000027088,1,8.9265,0.54
17,0.000020039,1,9.3348,0.54
17,0.000017671,1,9.4196,0.54
17,0.000012628,1,9.4197,0.54
17,0.000013761,1,9.6873,0.54
17,9.9339E-06,1,9.7961,0.54
18,0.000008788,1,10.2722,0.54
17,0.000010717,1,10.2307,0.53
17,0.000007512,1,10.2921,0.54
17,4.4081E-06,1,10.3308,0.545
17,3.8221E-06,1,10.9106,0.54
17,0.3139,0.9467,2285141,0.5
18,0.7338,0.795,1.2511,0.54
17,0.0375,0.9917,1.2118,0.66
17,0.004,1,0.8567,0.68
17,0.0232,0.9933,1.9953,0.64
17,0.0032,1,5.4934,0.545
17,0.002,1,1.1993,0.755
17,0.0004664,1,1.0775,0.77
17,0.00028142,1,1.0399,0.78
17,0.00018397,1,1.0761,0.79
17,0.00018814,1,1.0024,0.79
18,0.00011878,1,0.9554,0.81
17,0.000083603,1,0.9281,0.815
18,0.000070963,1,0.9916,0.805
17,0.000064109,1,1.0073,0.805
18,0.000057332,1,0.913,0.815
17,0.00005639,1,0.9739,0.82
17,0.000034976,1,1.1804,0.795
17,0.000026735,1,1.1207,0.805
17,0.000026151,1,0.9989,0.82
17,0.000023713,1,0.9212,0.82
17,0.000016473,1,1.0192,0.82
17,0.000014434,1,0.9188,0.82
17,8.6746E-06,1,0.964,0.82
17,0.000011427,1,1.0953,0.825
17,8.5569E-06,1,0.8796,0.835
17,0.000007695,1,0.7651,0.835
17,5.6336E-06,1,0.868,0.84
17,3.9584E-06,1,1.0932,0.825
17,0.000003887,1,0.9024,0.835
17,3.8301E-06,1,0.8287,0.83
17,2.2993E-06,1,0.8582,0.83
17,0.000003068,1,1.0828,0.815
17,1.7432E-06,1,1.101,0.82
17,1.3482E-06,1,0.8768,0.84
17,1.6806E-06,1,0.9244,0.84
17,8.9605E-07,1,0.8789,0.85
17,9.0736E-07,1,0.9386,0.845
17,8.8512E-07,1,1.0543,0.83
17,7.5697E-07,1,0.9174,0.845
17,6.3558E-07,1,0.9462,0.85
17,4.1485E-07,1,0.8819,0.855
18,3.9776E-07,1,0.8942,0.855
