Time,Loss,Accuracy,valLoss,valAccuracy
27,0.7313,0.6717,0.75,0.5
20,0.4496,0.8083,1.5002,0.465
20,0.1712,0.9383,1.6732,0.52
20,0.0136,0.9983,0.8684,0.73
20,0.0021,1,0.5693,0.805
20,0.00088074,1,0.6437,0.8
20,0.00062651,1,0.7947,0.78
20,0.00082857,1,0.5992,0.81
21,0.00039976,1,0.6582,0.815
20,0.00019835,1,0.4155,0.88
20,0.00015085,1,0.4412,0.87
20,0.00011655,1,0.4148,0.87
20,0.000098607,1,0.3085,0.9
20,0.000072995,1,0.363,0.9
21,0.000076129,1,0.5299,0.85
20,0.000046031,1,0.4172,0.88
20,0.000034287,1,0.3223,0.895
21,0.00003557,1,0.3208,0.9
20,0.000029894,1,0.2966,0.92
20,0.000021102,1,0.441,0.875
20,0.000020555,1,0.5153,0.88
21,0.00002112,1,0.3375,0.91
20,0.000014652,1,0.3924,0.89
20,0.000011509,1,0.4049,0.895
20,0.000010474,1,0.458,0.88
20,7.1858E-06,1,0.4643,0.89
21,6.8783E-06,1,0.352,0.905
20,5.8557E-06,1,0.3082,0.925
20,4.5122E-06,1,0.3084,0.925
20,4.4912E-06,1,0.3341,0.925
20,3.8798E-06,1,0.3262,0.925
20,2.7895E-06,1,0.3117,0.93
20,0.000002618,1,0.3348,0.925
20,2.2445E-06,1,0.3149,0.93
20,0.000001755,1,0.3645,0.92
21,0.000001724,1,0.3074,0.935
20,1.5298E-06,1,0.3431,0.925
21,0.000001211,1,0.3151,0.935
20,9.9242E-07,1,0.3079,0.94
21,7.7844E-07,1,0.3604,0.925
20,6.7651E-07,1,0.3655,0.925
20,7.1903E-07,1,0.4474,0.915
21,5.6803E-07,1,0.3621,0.93
20,5.4717E-07,1,0.3634,0.93
20,3.616E-07,1,0.3538,0.93
20,3.2345E-07,1,0.3533,0.935
20,3.1213E-07,1,0.3693,0.925
21,2.4537E-07,1,0.3414,0.93
20,2.0842E-07,1,0.3347,0.935
20,2.1676E-07,1,0.3642,0.935
20,1.5457E-07,1,0.361,0.935
21,1.5696E-07,1,0.3601,0.935
20,0.00000012,1,0.3585,0.935
20,1.1067E-07,1,0.3683,0.935
20,1.061E-07,1,0.3763,0.93
20,8.1857E-08,1,0.362,0.935
20,6.2188E-08,1,0.3793,0.925
20,4.7684E-08,1,0.3856,0.94
20,5.1856E-08,1,0.3869,0.935
20,4.5101E-08,1,0.3554,0.935
21,3.5365E-08,1,0.3999,0.935
20,2.7219E-08,1,0.3875,0.935
20,2.7021E-08,1,0.3805,0.935
20,1.8279E-08,1,0.3727,0.935
20,1.6093E-08,1,0.4143,0.935
20,2.4041E-08,1,0.3156,0.935
20,1.2914E-08,1,0.3566,0.945
20,1.0928E-08,1,0.3677,0.94
20,7.9473E-09,1,0.3664,0.935
21,5.5631E-09,1,0.3659,0.94
20,4.5697E-09,1,0.3767,0.935
20,3.3776E-09,1,0.3947,0.94
20,1.9868E-09,1,0.3944,0.935
20,2.1855E-09,1,0.3835,0.935
20,2.1855E-09,1,0.3993,0.94
20,1.5895E-09,1,0.4071,0.94
20,5.9605E-10,1,0.447,0.93
20,9.9341E-10,1,0.3956,0.94
21,1.9868E-10,1,0.39,0.935
20,5.9605E-10,1,0.4201,0.94
20,3.9736E-10,1,0.3884,0.94
20,0,1,0.4063,0.94
20,0,1,0.4206,0.94
20,0,1,0.4093,0.94
20,0,1,0.4195,0.94
20,0,1,0.4132,0.94
21,0,1,0.4159,0.94
20,0,1,0.4133,0.94
21,0,1,0.4197,0.94
20,0,1,0.411,0.935
20,0,1,0.4112,0.935
20,0,1,0.4233,0.94
20,0,1,0.426,0.94
20,0,1,0.4379,0.94
21,0,1,0.42,0.935
20,0,1,0.4264,0.94
20,0,1,0.408,0.935
20,0,1,0.46,0.935
20,0,1,0.4332,0.94
20,0,1,0.422,0.935
