Loss,Accuracy,valLoss,valAccuracy
0.9397,0.5407,0.6931,0.5
0.734,0.6222,0.6948,0.5
0.5055,0.7333,1.4246,0.4333
0.4655,0.7481,1.9025,0.4778
0.5598,0.7296,1.9013,0.4778
0.4127,0.8333,1.0167,0.6444
0.3807,0.8519,1.6033,0.6333
0.2632,0.9111,3.4214,0.5
0.2803,0.8778,1.0193,0.5667
0.28,0.9037,1.6107,0.6
0.2707,0.8926,2.8667,0.5
0.1904,0.9296,0.9629,0.5889
0.4151,0.8074,6.5771,0.4889
0.1717,0.9259,1.1875,0.4889
0.2154,0.9148,2.8945,0.4444
0.1871,0.9148,3.0821,0.4444
0.2258,0.9259,0.8427,0.6667
0.1756,0.9259,1.4057,0.5889
0.131,0.9519,1.0068,0.6111
0.074,0.9704,1.2132,0.6333
0.0208,0.9963,1.4446,0.6111
0.0109,1,1.7582,0.5222
0.01,0.9963,1.5973,0.6
0.0691,0.9815,1.2642,0.5444
0.213,0.9296,10.4341,0.4778
0.1479,0.9444,1.6713,0.5667
0.2905,0.8889,4.8706,0.5
0.0874,0.963,1.6634,0.4889
0.1295,0.9704,1.7536,0.5667
0.0236,0.9926,2.2021,0.4111
0.0115,1,1.4495,0.6222
0.0066,1,1.6143,0.4444
0.0055,0.9963,1.5467,0.4667
0.0063,1,1.4252,0.5
0.0049,1,1.3175,0.5333
0.0036,1,1.2757,0.5
0.1469,0.9481,7.4625,0.6222
0.364,0.8667,4.0391,0.6889
0.1307,0.9519,2.1764,0.5778
0.045,0.9815,2.386,0.4778
0.0395,0.9852,1.7253,0.4444
0.1034,0.9556,3.9878,0.4333
0.0805,0.9667,1.5084,0.6222
0.0096,0.9963,1.6852,0.5778
0.0077,1,1.8436,0.6
0.004,1,1.6684,0.5778
0.002,1,1.9271,0.5778
9.99E-04,1,1.9028,0.5778
6.55E-04,1,1.8947,0.5889
6.81E-04,1,1.914,0.6
6.22E-04,1,1.9043,0.5778
5.58E-04,1,1.9009,0.5889
5.26E-04,1,1.8951,0.5667
5.32E-04,1,1.9143,0.5667
9.28E-04,1,1.9815,0.4222
6.77E-04,1,1.9582,0.4889
3.38E-04,1,1.9846,0.5
3.13E-04,1,2.033,0.5111
3.33E-04,1,2.1592,0.5222
3.06E-04,1,2.1354,0.5333
2.44E-04,1,2.1787,0.5556
1.96E-04,1,2.1582,0.5556
1.99E-04,1,2.1492,0.5556
1.43E-04,1,2.1735,0.5556
1.43E-04,1,2.1514,0.5333
1.18E-04,1,2.1873,0.5444
1.10E-04,1,2.2068,0.5333
5.02E-04,1,2.2822,0.6
7.00E-04,1,1.8836,0.5222
0.833,0.8185,2479.0183,0.5
0.6503,0.7667,3.6016,0.5
0.2083,0.9148,2.0098,0.4556
0.1135,0.9481,1.2922,0.5222
0.0785,0.9704,2.1828,0.4778
0.111,0.9593,1.5573,0.4778
0.0437,0.9852,1.4234,0.5111
0.0688,0.9741,2.0869,0.5
0.1447,0.9444,2.7085,0.4667
0.0736,0.9852,2.3712,0.5111
0.0478,0.9815,1.6059,0.5
0.0458,0.9889,2.1296,0.4556
0.0204,0.9963,1.9356,0.5444
0.0356,0.9852,1.7357,0.4778
0.0664,0.9741,4.3732,0.5111
0.1194,0.9444,2.043,0.5222
0.0626,0.9741,1.8275,0.5333
0.0026,1,1.8567,0.5333
0.0042,1,1.9924,0.5111
0.0013,1,2.1279,0.4889
0.0163,0.9926,2.1672,0.4556
0.0303,0.9852,2.8815,0.4222
0.0315,0.9889,2.2103,0.4778
0.0099,0.9963,2.1399,0.4333
0.0178,0.9889,1.9174,0.5444
0.0031,1,2.3057,0.5
9.05E-04,1,2.2652,0.4889
0.0017,1,2.3943,0.4778
9.28E-04,1,2.3749,0.5
0.0014,1,2.2314,0.5
0.0014,1,2.0041,0.5111
