Loss,Accuracy,valLoss,valAccuracy
1.8519,0.6037,0.8063,0.5
0.954,0.6407,1.6465,0.5333
0.7751,0.6556,0.8372,0.5556
0.6691,0.7074,52.936,0.5
0.525,0.7519,17.8436,0.4667
0.4628,0.7963,6.5208,0.5222
0.4676,0.8037,2.1678,0.5333
0.3962,0.8481,3.6744,0.5778
0.5824,0.7667,1.7615,0.5778
0.3863,0.8444,3.1227,0.5444
0.3308,0.8593,3.8149,0.4667
0.2618,0.8889,4.5878,0.5111
0.4014,0.8333,7.9541,0.4
0.3625,0.8556,3.0131,0.5333
0.2345,0.9148,6.0474,0.5778
0.2388,0.9074,7.7908,0.5111
0.2969,0.8667,4.9826,0.4667
0.2349,0.8889,43.0324,0.4889
0.2366,0.8963,3.4113,0.4222
0.2029,0.9222,8.0551,0.4111
0.2402,0.8889,14.6554,0.4444
0.1624,0.9333,2.3626,0.4778
0.1079,0.9593,1.8779,0.5222
0.3019,0.9111,5.8965,0.6444
0.1911,0.9444,6.376,0.4444
0.1087,0.9444,5.6401,0.3889
0.7793,0.7481,166.5172,0.5
0.9016,0.6444,1.6876,0.6
0.5283,0.7741,2.6539,0.5
0.4007,0.8296,2.1162,0.4778
0.4478,0.7556,11.0786,0.5333
0.3732,0.8444,3.506,0.5333
0.2464,0.9259,2.6101,0.5111
0.2486,0.8963,4.0953,0.6667
0.3273,0.8704,4.1519,0.5
0.3477,0.8741,3.4226,0.4667
0.2323,0.9148,2.5183,0.6444
0.1872,0.9185,1.8348,0.5556
0.1903,0.9259,7.6199,0.4778
0.2276,0.9222,2.1793,0.5333
0.1672,0.9259,2.1239,0.6111
0.095,0.9593,3.4913,0.4333
0.1364,0.9444,2.0786,0.5889
0.1195,0.963,9.6754,0.4333
0.1874,0.9222,3.6114,0.5
0.1803,0.9296,1.6421,0.6111
0.1245,0.9444,2.7285,0.5
0.1166,0.963,2.4158,0.5889
0.0391,0.9852,3.0145,0.5222
0.1655,0.9519,2.9971,0.6556
0.077,0.9704,1.7451,0.6333
0.0425,0.9778,3.616,0.5667
0.0894,0.9593,4.6222,0.5889
0.1354,0.9481,3.3777,0.6222
0.2027,0.9481,10.2207,0.5
0.2373,0.9333,1.831,0.6
0.1295,0.9296,10.3218,0.4444
0.1111,0.9556,2.4786,0.5444
0.0825,0.9667,2.1468,0.5667
0.0162,0.9963,2.8985,0.5556
0.0844,0.9667,40.3972,0.4778
0.402,0.8667,66.4232,0.5
0.1854,0.937,5.1411,0.5444
0.0223,0.9963,2.5501,0.5889
0.0629,0.9704,1.6808,0.5222
0.05,0.9815,3.016,0.5778
0.0364,0.9889,2.8651,0.6
0.0601,0.9741,2.1449,0.5889
0.1733,0.9407,2.9538,0.6222
0.0687,0.9778,7.4892,0.4778
0.0422,0.9852,3.131,0.5778
0.0082,1,2.0052,0.5667
0.0212,0.9963,3.281,0.5333
0.028,0.9889,2.179,0.5111
0.0053,1,2.7853,0.5444
0.0038,1,2.4815,0.5333
0.0032,1,2.1545,0.5556
0.0054,1,2.0967,0.5111
0.0059,1,2.5189,0.5
0.0023,1,2.6572,0.5667
5.92E-04,1,2.6763,0.5444
9.76E-04,1,2.6617,0.5667
0.017,0.9963,3.25,0.5333
0.255,0.9185,11.1322,0.4444
0.2099,0.9185,10.7505,0.5889
0.0968,0.963,2.0851,0.7
0.1959,0.937,5.521,0.6111
0.0854,0.963,1.847,0.6333
0.0458,0.9778,1.6832,0.5889
0.0355,0.9889,3.3641,0.5333
0.0166,0.9963,2.35,0.5778
0.039,0.9852,2.8926,0.6111
0.0951,0.9704,5.7343,0.5667
0.0193,0.9926,2.9865,0.6556
0.0133,0.9963,2.514,0.6222
0.0204,0.9963,3.6484,0.5667
0.0046,1,2.8061,0.5889
8.46E-04,1,2.8202,0.5889
0.0015,1,2.6636,0.5778
0.0032,1,2.8543,0.6222
